0,1.38%
10,5.64%
20,13.02%
30,18.308467386954778%
40,24.76609128757886%
50,29.852854305601845%
60,32.8787191799797%
70,36.2662672532188%
80,41.095816249576735%
90,43.28814507534165%
100,45.95724643703635%
110,49.99107871160075%
120,51.52532231615432%
130,53.58198991643102%
140,55.30835377547249%
150,57.10279454178061%
160,57.603741072626484%
170,59.235064032870035%
180,60.189430004544995%
190,62.88806119899985%
200,63.87341403066632%
210,64.44545811712848%
220,65.62745520398131%
230,65.96734790275934%
240,67.24864791181899%
250,65.25488314312399%
260,67.66494208056915%
270,67.74235133938329%
280,69.45475296903359%
290,69.21915924643447%
300,68.62298654868724%
310,70.75371634021383%
320,69.64248334113269%
330,70.05857123630585%
340,70.85515131509378%
350,71.03194798251045%
