0,2.1861178510176154%
10,8.665501496797255%
20,16.356105291579812%
30,21.2213050443999%
40,27.65161418254243%
50,33.3026142790812%
60,37.792346108643734%
70,40.49741263705556%
80,45.3359524076798%
90,47.54228138629728%
100,52.12722072855725%
110,53.920683290923165%
120,55.395947859555044%
130,57.76713237297099%
140,59.53014601736544%
150,60.941954896048564%
160,62.924650162713945%
170,63.67635422812154%
180,65.05751567756347%
190,66.32834861131583%
200,69.22699870155901%
210,69.4898559756308%
220,71.17532258544512%
230,71.11446458550274%
240,72.0900593744908%
250,72.39795292137595%
260,73.24807005187782%
270,73.33305407166802%
280,74.69266689543848%
290,75.28743187831364%
300,74.74976842834761%
310,75.9827376395696%
320,75.95817737790209%
330,77.67241341378141%
340,78.34192094707011%
350,76.82039884383727%
300,75.73767313134448%
