0,2.2%
10,7.4%
20,16.18%
30,23.2%
40,31.72%
50,37.82%
60,43.84%
70,45.91372549019607%
80,50.14588235294117%
90,54.78%
100,57.44784313725491%
110,61.52588235294118%
120,61.171372549019615%
130,63.8729411764706%
140,67.45372549019608%
150,67.23803921568627%
160,69.20627450980392%
170,69.92196078431373%
180,71.77725490196077%
190,71.95921568627452%
200,75.27490196078432%
210,75.22941176470587%
220,76.8035294117647%
230,74.75137254901959%
240,77.99803921568626%
250,77.18627450980394%
260,77.79529411764706%
270,79.45450980392155%
280,79.69607843137254%
290,80.55058823529411%
300,79.5678431372549%
310,81.03764705882354%
320,81.94745098039215%
330,83.16784313725489%
340,82.52980392156861%
350,82.13215686274509%
