0,2.3272181619329033%
10,3.8619321704802%
20,9.611166812649548%
30,17.280768637763554%
40,22.927477172902446%
50,29.911587668041793%
60,36.31488350610259%
70,40.42830683937516%
80,45.444937947057184%
90,48.240431486161796%
100,52.039146337134596%
110,53.49030061448369%
120,56.84044730376514%
130,59.49224784621331%
140,61.76131460775647%
150,63.43884503009506%
160,65.05089537111165%
170,65.77821890282038%
180,67.3364418601132%
190,69.65016047736042%
200,69.7335646231598%
210,71.31468748829478%
220,70.8294517407034%
230,72.73352361370395%
240,73.11454297922322%
250,74.69808336768351%
260,74.2005463374546%
270,75.37319541230819%
280,75.61827340503004%
290,75.79271975443702%
300,75.93683144832076%
310,75.85548622248888%
320,77.09414398381742%
330,77.02632496752157%
340,77.56423416913024%
350,78.7213410132235%
