0,2.96%
10,11.14%
20,21.48%
30,29.12%
40,36.74%
50,42.84%
60,49.62%
70,52.69725490196079%
80,55.66%
90,60.386274509803926%
100,63.54015082956259%
110,65.57450980392157%
120,67.52%
130,68.74705882352941%
140,70.7043137254902%
150,71.79882352941176%
160,74.49450980392156%
170,76.43882352941178%
180,75.16666666666666%
190,77.59529411764704%
200,78.13372549019607%
210,79.20745098039215%
220,80.05333333333333%
230,80.64%
240,81.66%
250,82.62588235294118%
260,81.84196078431373%
270,82.66980392156864%
280,82.88470588235293%
290,84.29098039215685%
300,82.97529411764707%
310,84.29411764705881%
320,84.20039215686273%
330,84.59176470588234%
340,84.40274509803922%
350,85.73999999999998%
