R,T,I,score
1,6,1,33.0%
1,6,2,15.0%
1,6,3,9.0%
1,6,4,6.0%
1,6,5,7.0%
1,6,6,4.0%
1,6,7,5.0%
1,6,8,3.0%
1,6,9,2.0%
1,6,10,0.0%
1,6,11,2.0%
1,6,12,0.0%
1,6,13,1.0%
1,6,14,1.0%
1,6,15,0.0%
1,6,16,1.0%
1,6,17,1.0%
1,6,18,0.0%
1,6,19,1.0%
1,6,20,1.0%
2,6,1,61.0%
2,6,2,35.0%
2,6,3,30.0%
2,6,4,28.0%
2,6,5,23.0%
2,6,6,18.0%
2,6,7,16.0%
2,6,8,16.0%
2,6,9,9.0%
2,6,10,9.0%
2,6,11,9.0%
2,6,12,9.0%
2,6,13,6.0%
2,6,14,5.0%
2,6,15,6.0%
2,6,16,3.0%
2,6,17,1.0%
2,6,18,5.0%
2,6,19,4.0%
2,6,20,4.0%
3,6,1,77.0%
3,6,2,64.0%
3,6,3,51.0%
3,6,4,51.0%
3,6,5,47.0%
3,6,6,45.0%
3,6,7,50.0%
3,6,8,47.0%
3,6,9,51.0%
3,6,10,38.0%
3,6,11,28.0%
3,6,12,30.0%
3,6,13,29.0%
3,6,14,26.0%
3,6,15,30.0%
3,6,16,29.0%
3,6,17,33.0%
3,6,18,35.0%
3,6,19,38.0%
3,6,20,35.0%
4,6,1,81.0%
4,6,2,82.0%
4,6,3,83.0%
4,6,4,83.0%
4,6,5,85.0%
4,6,6,82.0%
4,6,7,84.0%
4,6,8,81.0%
4,6,9,80.0%
4,6,10,74.0%
4,6,11,73.0%
4,6,12,73.0%
4,6,13,70.0%
4,6,14,73.0%
4,6,15,70.0%
4,6,16,68.0%
4,6,17,68.0%
4,6,18,67.0%
4,6,19,60.0%
4,6,20,64.0%
5,6,1,97.0%
5,6,2,89.0%
5,6,3,90.0%
5,6,4,88.0%
5,6,5,89.0%
5,6,6,90.0%
5,6,7,91.0%
5,6,8,93.0%
5,6,9,92.0%
5,6,10,94.0%
5,6,11,94.0%
5,6,12,96.0%
5,6,13,91.0%
5,6,14,92.0%
5,6,15,92.0%
5,6,16,89.0%
5,6,17,91.0%
5,6,18,92.0%
5,6,19,86.0%
5,6,20,86.0%
6,6,1,99.0%
6,6,2,91.0%
6,6,3,92.0%
6,6,4,88.0%
6,6,5,92.0%
6,6,6,95.0%
6,6,7,96.0%
6,6,8,95.0%
6,6,9,95.0%
6,6,10,99.0%
6,6,11,100.0%
6,6,12,100.0%
6,6,13,100.0%
6,6,14,99.0%
6,6,15,99.0%
6,6,16,100.0%
