R,T,I,score
1,6,1,4.0%
1,6,2,4.0%
1,6,3,5.0%
1,6,4,2.0%
1,6,5,1.0%
1,6,6,1.0%
1,6,7,0.0%
1,6,8,1.0%
1,6,9,1.0%
1,6,10,0.0%
1,6,11,1.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,8.0%
2,6,2,10.0%
2,6,3,7.0%
2,6,4,10.0%
2,6,5,3.0%
2,6,6,2.0%
2,6,7,2.0%
2,6,8,1.0%
2,6,9,1.0%
2,6,10,1.0%
2,6,11,3.0%
2,6,12,3.0%
2,6,13,1.0%
2,6,14,1.0%
2,6,15,0.0%
2,6,16,1.0%
2,6,17,1.0%
2,6,18,1.0%
2,6,19,1.0%
2,6,20,1.0%
3,6,1,16.0%
3,6,2,20.0%
3,6,3,19.0%
3,6,4,20.0%
3,6,5,14.0%
3,6,6,15.0%
3,6,7,12.0%
3,6,8,12.0%
3,6,9,12.0%
3,6,10,10.0%
3,6,11,8.0%
3,6,12,8.0%
3,6,13,9.0%
3,6,14,7.0%
3,6,15,6.0%
3,6,16,7.0%
3,6,17,7.0%
3,6,18,5.0%
3,6,19,4.0%
3,6,20,6.0%
4,6,1,17.0%
4,6,2,28.0%
4,6,3,30.0%
4,6,4,30.0%
4,6,5,36.0%
4,6,6,38.0%
4,6,7,32.0%
4,6,8,33.0%
4,6,9,30.0%
4,6,10,26.0%
4,6,11,25.0%
4,6,12,23.0%
4,6,13,26.0%
4,6,14,31.0%
4,6,15,29.0%
4,6,16,27.0%
4,6,17,29.0%
4,6,18,25.0%
4,6,19,24.0%
4,6,20,24.0%
5,6,1,24.0%
5,6,2,36.0%
5,6,3,41.0%
5,6,4,55.0%
5,6,5,57.0%
5,6,6,67.0%
5,6,7,60.0%
5,6,8,62.0%
5,6,9,55.0%
5,6,10,60.0%
5,6,11,56.0%
5,6,12,54.0%
5,6,13,53.0%
5,6,14,55.0%
5,6,15,54.0%
5,6,16,50.0%
5,6,17,53.0%
5,6,18,55.0%
5,6,19,54.0%
5,6,20,59.0%
6,6,1,34.0%
6,6,2,50.0%
6,6,3,63.0%
6,6,4,68.0%
6,6,5,71.0%
6,6,6,76.0%
6,6,7,73.0%
6,6,8,75.0%
6,6,9,69.0%
6,6,10,73.0%
6,6,11,74.0%
6,6,12,67.0%
6,6,13,73.0%
6,6,14,71.0%
6,6,15,71.0%
6,6,16,74.0%
6,6,17,77.0%
6,6,18,74.0%
6,6,19,70.0%
6,6,20,74.0%
7,6,1,40.0%
7,6,2,58.0%
7,6,3,73.0%
7,6,4,79.0%
7,6,5,79.0%
7,6,6,82.0%
7,6,7,81.0%
7,6,8,80.0%
7,6,9,77.0%
7,6,10,81.0%
7,6,11,85.0%
7,6,12,80.0%
7,6,13,83.0%
7,6,14,82.0%
7,6,15,85.0%
7,6,16,86.0%
7,6,17,86.0%
7,6,18,85.0%
7,6,19,84.0%
7,6,20,88.0%
8,6,1,48.0%
8,6,2,62.0%
8,6,3,75.0%
8,6,4,82.0%
8,6,5,81.0%
8,6,6,87.0%
8,6,7,89.0%
8,6,8,89.0%
8,6,9,87.0%
8,6,10,87.0%
8,6,11,91.0%
8,6,12,86.0%
8,6,13,89.0%
8,6,14,92.0%
8,6,15,88.0%
8,6,16,88.0%
8,6,17,89.0%
8,6,18,91.0%
8,6,19,90.0%
8,6,20,89.0%
9,6,1,55.0%
9,6,2,69.0%
9,6,3,79.0%
9,6,4,84.0%
9,6,5,85.0%
9,6,6,91.0%
9,6,7,92.0%
9,6,8,93.0%
9,6,9,92.0%
9,6,10,92.0%
9,6,11,92.0%
9,6,12,90.0%
9,6,13,92.0%
9,6,14,93.0%
9,6,15,92.0%
9,6,16,92.0%
9,6,17,93.0%
9,6,18,92.0%
9,6,19,92.0%
9,6,20,94.0%
10,6,1,57.0%
10,6,2,74.0%
10,6,3,80.0%
10,6,4,84.0%
10,6,5,87.0%
10,6,6,93.0%
10,6,7,94.0%
10,6,8,94.0%
10,6,9,94.0%
10,6,10,94.0%
10,6,11,94.0%
10,6,12,93.0%
10,6,13,94.0%
10,6,14,94.0%
10,6,15,94.0%
10,6,16,94.0%
10,6,17,93.0%
10,6,18,94.0%
10,6,19,95.0%
10,6,20,95.0%
11,6,1,57.0%
11,6,2,74.0%
11,6,3,85.0%
11,6,4,88.0%
11,6,5,93.0%
11,6,6,94.0%
11,6,7,94.0%
11,6,8,95.0%
11,6,9,95.0%
11,6,10,94.0%
11,6,11,95.0%
11,6,12,94.0%
11,6,13,94.0%
11,6,14,94.0%
11,6,15,95.0%
11,6,16,94.0%
11,6,17,94.0%
11,6,18,94.0%
11,6,19,95.0%
11,6,20,96.0%
12,6,1,59.0%
12,6,2,77.0%
12,6,3,91.0%
12,6,4,93.0%
12,6,5,96.0%
12,6,6,95.0%
12,6,7,96.0%
12,6,8,96.0%
12,6,9,95.0%
12,6,10,94.0%
12,6,11,95.0%
12,6,12,94.0%
12,6,13,95.0%
12,6,14,95.0%
12,6,15,96.0%
12,6,16,97.0%
12,6,17,97.0%
12,6,18,96.0%
12,6,19,96.0%
12,6,20,98.0%
13,6,1,60.0%
13,6,2,81.0%
13,6,3,92.0%
13,6,4,95.0%
13,6,5,97.0%
13,6,6,96.0%
13,6,7,99.0%
13,6,8,97.0%
13,6,9,97.0%
13,6,10,97.0%
13,6,11,98.0%
13,6,12,96.0%
13,6,13,96.0%
13,6,14,97.0%
13,6,15,98.0%
13,6,16,97.0%
13,6,17,97.0%
13,6,18,98.0%
13,6,19,98.0%
13,6,20,99.0%
14,6,1,61.0%
14,6,2,83.0%
14,6,3,93.0%
14,6,4,96.0%
14,6,5,97.0%
14,6,6,97.0%
14,6,7,100.0%
14,6,8,99.0%
14,6,9,99.0%
14,6,10,99.0%
14,6,11,100.0%
14,6,12,100.0%
14,6,13,97.0%
14,6,14,100.0%
14,6,15,100.0%
14,6,16,98.0%
14,6,17,100.0%
14,6,18,100.0%
14,6,19,100.0%
14,6,20,100.0%
15,6,1,62.0%
15,6,2,86.0%
15,6,3,93.0%
15,6,4,97.0%
15,6,5,97.0%
15,6,6,99.0%
15,6,7,100.0%
15,6,8,100.0%
15,6,9,100.0%
15,6,10,100.0%
15,6,11,100.0%
15,6,12,100.0%
15,6,13,100.0%
15,6,14,100.0%
15,6,15,100.0%
15,6,16,100.0%
15,6,17,100.0%
15,6,18,100.0%
15,6,19,100.0%
15,6,20,100.0%
16,6,1,63.0%
16,6,2,86.0%
16,6,3,93.0%
16,6,4,99.0%
16,6,5,100.0%
16,6,6,100.0%
16,6,7,100.0%
16,6,8,100.0%
16,6,9,100.0%
16,6,10,100.0%
16,6,11,100.0%
16,6,12,100.0%
16,6,13,100.0%
16,6,14,100.0%
16,6,15,100.0%
16,6,16,100.0%
16,6,17,100.0%
16,6,18,100.0%
16,6,19,100.0%
16,6,20,100.0%
17,6,1,63.0%
17,6,2,86.0%
17,6,3,95.0%
17,6,4,100.0%
17,6,5,100.0%
17,6,6,100.0%
17,6,7,100.0%
17,6,8,100.0%
17,6,9,100.0%
17,6,10,100.0%
17,6,11,100.0%
17,6,12,100.0%
17,6,13,100.0%
17,6,14,100.0%
17,6,15,100.0%
17,6,16,100.0%
17,6,17,100.0%
17,6,18,100.0%
17,6,19,100.0%
17,6,20,100.0%
18,6,1,63.0%
18,6,2,86.0%
18,6,3,96.0%
18,6,4,100.0%
18,6,5,100.0%
18,6,6,100.0%
18,6,7,100.0%
18,6,8,100.0%
18,6,9,100.0%
18,6,10,100.0%
18,6,11,100.0%
18,6,12,100.0%
18,6,13,100.0%
18,6,14,100.0%
18,6,15,100.0%
18,6,16,100.0%
18,6,17,100.0%
18,6,18,100.0%
18,6,19,100.0%
18,6,20,100.0%
19,6,1,63.0%
19,6,2,86.0%
19,6,3,96.0%
19,6,4,100.0%
19,6,5,100.0%
19,6,6,100.0%
19,6,7,100.0%
19,6,8,100.0%
19,6,9,100.0%
19,6,10,100.0%
19,6,11,100.0%
19,6,12,100.0%
19,6,13,100.0%
19,6,14,100.0%
19,6,15,100.0%
19,6,16,100.0%
19,6,17,100.0%
19,6,18,100.0%
19,6,19,100.0%
19,6,20,100.0%
20,6,1,63.0%
20,6,2,86.0%
20,6,3,96.0%
20,6,4,100.0%
20,6,5,100.0%
20,6,6,100.0%
20,6,7,100.0%
20,6,8,100.0%
20,6,9,100.0%
20,6,10,100.0%
20,6,11,100.0%
20,6,12,100.0%
20,6,13,100.0%
20,6,14,100.0%
20,6,15,100.0%
20,6,16,100.0%
20,6,17,100.0%
20,6,18,100.0%
20,6,19,100.0%
20,6,20,100.0%
