R,T,I,score
1,6,1,7.28615624451988%
1,6,2,6.319787957824868%
1,6,3,9.174385774881591%
1,6,4,6.9524838146876755%
1,6,5,6.895379620379618%
1,6,6,11.475865800865797%
1,6,7,8.91075036075036%
1,6,8,16.648015873015872%
1,6,9,6.099999999999999%
1,6,10,8.991666666666667%
1,6,11,8.55%
1,6,12,0.5%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.6666666666666665%
1,6,16,0.9%
1,6,17,2.333333333333333%
1,6,18,1.5%
1,6,19,1.0%
1,6,20,2.0%
2,6,1,8.883485908094901%
2,6,2,7.5690297520499925%
2,6,3,8.733683437820755%
2,6,4,7.841510012803411%
2,6,5,7.202253394117543%
2,6,6,6.989856491113772%
2,6,7,7.731637756506202%
2,6,8,8.897027070395131%
2,6,9,8.811156422734022%
2,6,10,9.28945544591661%
2,6,11,11.109510976676813%
2,6,12,9.92632089272956%
2,6,13,8.330593426181661%
2,6,14,8.621048026620779%
2,6,15,8.48854827662877%
2,6,16,6.9972270978075946%
2,6,17,6.350126099390805%
2,6,18,6.015519099923124%
2,6,19,7.847356238532709%
2,6,20,7.3354122185004575%
3,6,1,7.452114266415032%
3,6,2,8.26027048660834%
3,6,3,9.551363493412959%
3,6,4,7.873479520622653%
3,6,5,7.945076344540271%
3,6,6,7.585937990493542%
3,6,7,7.5484372692329575%
3,6,8,7.424160651150362%
3,6,9,8.12081650745458%
3,6,10,7.463715848610441%
3,6,11,8.501027045997867%
3,6,12,8.990075238796406%
3,6,13,9.034901528778647%
3,6,14,9.154000655261475%
3,6,15,9.283984370123108%
3,6,16,8.886683679930407%
3,6,17,8.59967521501692%
3,6,18,8.028193539574724%
3,6,19,8.613409455814445%
3,6,20,8.832776241408684%
4,6,1,8.041513181651204%
4,6,2,8.469557692353364%
4,6,3,9.730463747898543%
4,6,4,9.242970033724127%
4,6,5,9.402616359277815%
4,6,6,10.006843388304512%
4,6,7,9.357321137770645%
4,6,8,8.961118234180152%
4,6,9,9.03566069958214%
4,6,10,9.139285835437995%
4,6,11,9.338414480606914%
4,6,12,9.980379549037112%
4,6,13,9.986910222842875%
4,6,14,10.736309713336864%
4,6,15,10.533764301901163%
4,6,16,10.816155418213004%
4,6,17,10.41530198038192%
4,6,18,10.119261047876837%
4,6,19,10.81439189079195%
4,6,20,11.023473016293595%
5,6,1,9.190236263680099%
5,6,2,9.627234636813233%
5,6,3,10.53084758755992%
5,6,4,10.33790720648556%
5,6,5,10.547777443476875%
5,6,6,11.253985366283366%
5,6,7,10.216206741000294%
5,6,8,9.931036099965754%
5,6,9,10.530464607588277%
5,6,10,10.563622724769546%
5,6,11,10.386490908826044%
5,6,12,10.515024646450795%
5,6,13,10.590180536910884%
5,6,14,10.65592532217084%
5,6,15,10.489003720646517%
5,6,16,10.97720716282301%
5,6,17,10.719871368189336%
5,6,18,10.790892060011366%
5,6,19,10.784135851711952%
5,6,20,11.035618772144053%
6,6,1,9.771339274715565%
6,6,2,10.45708812773437%
6,6,3,11.121440519974835%
6,6,4,10.726476691719686%
6,6,5,11.300750493996189%
6,6,6,11.528073150178416%
6,6,7,11.449942828464819%
6,6,8,11.065027577857427%
6,6,9,11.038577502987486%
6,6,10,10.997319523225475%
6,6,11,9.95069412440063%
6,6,12,9.968576583820399%
6,6,13,10.010936452312222%
6,6,14,10.022250263971836%
6,6,15,10.005103123379016%
6,6,16,10.524382061205142%
6,6,17,10.18644304056416%
6,6,18,10.215604314205692%
6,6,19,10.345616567782683%
6,6,20,10.422022160145607%
7,6,1,9.970928582853974%
7,6,2,11.129637628638305%
7,6,3,11.057967515495843%
7,6,4,11.08880560478829%
7,6,5,11.43498107488781%
7,6,6,11.16417160010765%
7,6,7,10.965514509918245%
7,6,8,10.815682261331835%
7,6,9,10.951661300268903%
7,6,10,10.977343732427022%
7,6,11,10.606320161583323%
7,6,12,10.14134005397164%
7,6,13,10.290911551993029%
7,6,14,10.015926479030304%
7,6,15,10.30829857120413%
7,6,16,10.420109404399243%
7,6,17,10.557808084048173%
7,6,18,10.523381968140448%
7,6,19,10.647395442005658%
7,6,20,10.758409529969999%
8,6,1,10.19046077173993%
8,6,2,10.836131778503539%
8,6,3,10.6676081524516%
8,6,4,10.389836457124936%
8,6,5,10.7414903550813%
8,6,6,10.825128458039858%
8,6,7,10.673167605212921%
8,6,8,10.514757172651919%
8,6,9,10.568409851307928%
8,6,10,10.63272337256349%
8,6,11,10.804101073254976%
8,6,12,10.708067748374225%
8,6,13,10.752269160996686%
8,6,14,10.595355385082241%
8,6,15,10.536737135837742%
8,6,16,10.473181430593662%
8,6,17,10.604588465054826%
8,6,18,10.553880902575111%
8,6,19,10.489963769417475%
8,6,20,11.151966435410811%
9,6,1,10.595284462373074%
9,6,2,10.8153597457395%
9,6,3,10.393684374697038%
9,6,4,10.142370287939917%
9,6,5,10.1814619979177%
9,6,6,10.266840754182532%
9,6,7,10.330395343053576%
9,6,8,10.23161859237809%
9,6,9,10.212066414598068%
9,6,10,10.200057326639612%
9,6,11,10.341474980715496%
9,6,12,10.366697315564743%
9,6,13,10.432174199329438%
9,6,14,10.481939224444227%
9,6,15,10.449283727598191%
9,6,16,10.520273586063068%
9,6,17,10.60407125630311%
9,6,18,10.78241506439375%
9,6,19,10.801373294704412%
9,6,20,10.720244556686932%
10,6,1,9.893541058098027%
10,6,2,10.518500486854926%
10,6,3,9.945959104186956%
10,6,4,9.778023664099617%
10,6,5,9.831573489801345%
10,6,6,9.840379030252452%
10,6,7,9.976411773880132%
10,6,8,9.929473480106397%
10,6,9,10.027719116326715%
10,6,10,9.79708266417128%
10,6,11,9.873676955955442%
10,6,12,9.883584769660725%
10,6,13,9.821642492528575%
10,6,14,9.90080805270679%
10,6,15,9.873908791630317%
10,6,16,9.76490941880683%
10,6,17,9.817044880502582%
10,6,18,9.952161762288357%
10,6,19,10.06679757062836%
10,6,20,10.067618035972476%
11,6,1,9.626419993508609%
11,6,2,10.1361570918533%
11,6,3,9.655955858487506%
11,6,4,9.679649464459596%
11,6,5,9.556475170399226%
11,6,6,9.612625770853626%
11,6,7,9.687276858162939%
11,6,8,9.70480363518339%
11,6,9,9.639402791301531%
11,6,10,9.506491398896468%
11,6,11,9.620640962413121%
11,6,12,9.670757512529669%
11,6,13,9.50116550116551%
11,6,14,9.548070073386537%
11,6,15,9.4943579627124%
11,6,16,9.488477766958788%
11,6,17,9.37221639120374%
11,6,18,9.36008295501967%
11,6,19,9.70112798593812%
11,6,20,9.871794871794883%
12,6,1,9.723790976955543%
12,6,2,10.0266147354755%
12,6,3,9.558909444985398%
12,6,4,9.344855566374559%
12,6,5,9.331223628691992%
12,6,6,9.39678675754626%
12,6,7,9.48555663745538%
12,6,8,9.526290165530678%
12,6,9,9.52353132099968%
12,6,10,9.426322622525163%
12,6,11,9.550957481337234%
12,6,12,9.526127880558265%
12,6,13,9.398247322297962%
12,6,14,9.351833820188256%
12,6,15,9.444173969490432%
12,6,16,9.405063291139248%
12,6,17,9.435410580980207%
12,6,18,9.454884777669594%
12,6,19,10.150438169425518%
12,6,20,10.182408308990592%
13,6,1,9.354430379746846%
13,6,2,9.873417721518994%
13,6,3,9.342745861733214%
13,6,4,9.266796494644604%
13,6,5,9.204479065238566%
13,6,6,9.330087633885109%
13,6,7,9.544303797468359%
13,6,8,9.683544303797476%
13,6,9,9.632911392405067%
13,6,10,9.583576760791956%
13,6,11,9.697500811424867%
13,6,12,9.610353781239864%
13,6,13,9.469490425186635%
13,6,14,9.35443037974684%
13,6,15,9.379746835443045%
13,6,16,9.354430379746843%
13,6,17,9.430379746835449%
13,6,18,9.696202531645575%
13,6,19,9.775884453099648%
13,6,20,9.721518987341778%
14,6,1,9.227848101265835%
14,6,2,9.696202531645577%
14,6,3,9.279454722492705%
14,6,4,9.43037974683545%
14,6,5,9.367088607594942%
14,6,6,9.405063291139244%
14,6,7,9.569620253164564%
14,6,8,9.63291139240507%
14,6,9,9.54430379746836%
14,6,10,9.518987341772158%
14,6,11,9.493670886075956%
14,6,12,9.506329113924057%
14,6,13,9.455696202531653%
14,6,14,9.455696202531652%
14,6,15,9.379746835443047%
14,6,16,9.367088607594944%
14,6,17,9.354430379746844%
14,6,18,9.367088607594946%
14,6,19,9.379746835443047%
14,6,20,9.379746835443047%
15,6,1,9.240506329113936%
15,6,2,9.645569620253173%
15,6,3,9.34274586173321%
15,6,4,9.405063291139246%
15,6,5,9.341772151898741%
15,6,6,9.34177215189874%
15,6,7,9.518987341772156%
15,6,8,9.443037974683552%
15,6,9,9.443037974683552%
15,6,10,9.405063291139248%
15,6,11,9.379746835443047%
15,6,12,9.367088607594944%
15,6,13,9.367088607594946%
15,6,14,9.341772151898743%
15,6,15,9.341772151898743%
15,6,16,9.354430379746843%
15,6,17,9.31645569620254%
15,6,18,9.31645569620254%
15,6,19,9.329113924050642%
15,6,20,9.31645569620254%
16,6,1,9.113924050632924%
16,6,2,9.481012658227856%
16,6,3,9.303797468354437%
16,6,4,9.392405063291147%
16,6,5,9.31645569620254%
16,6,6,9.329113924050642%
16,6,7,9.379746835443045%
16,6,8,9.367088607594946%
16,6,9,9.354430379746844%
16,6,10,9.329113924050642%
16,6,11,9.31645569620254%
16,6,12,9.329113924050642%
16,6,13,9.341772151898743%
16,6,14,9.329113924050642%
16,6,15,9.329113924050642%
16,6,16,9.31645569620254%
16,6,17,9.31645569620254%
16,6,18,9.31645569620254%
16,6,19,9.31645569620254%
16,6,20,9.31645569620254%
17,6,1,9.113924050632924%
17,6,2,9.43037974683545%
17,6,3,9.303797468354439%
17,6,4,9.329113924050642%
17,6,5,9.31645569620254%
17,6,6,9.31645569620254%
17,6,7,9.31645569620254%
17,6,8,9.31645569620254%
17,6,9,9.31645569620254%
17,6,10,9.31645569620254%
17,6,11,9.31645569620254%
17,6,12,9.31645569620254%
17,6,13,9.329113924050642%
17,6,14,9.31645569620254%
17,6,15,9.31645569620254%
17,6,16,9.31645569620254%
17,6,17,9.31645569620254%
17,6,18,9.31645569620254%
17,6,19,9.31645569620254%
17,6,20,9.31645569620254%
18,6,1,9.164556962025328%
18,6,2,9.43037974683545%
18,6,3,9.253164556962034%
18,6,4,9.31645569620254%
18,6,5,9.31645569620254%
18,6,6,9.31645569620254%
18,6,7,9.31645569620254%
18,6,8,9.31645569620254%
18,6,9,9.31645569620254%
18,6,10,9.31645569620254%
18,6,11,9.31645569620254%
18,6,12,9.31645569620254%
18,6,13,9.31645569620254%
18,6,14,9.31645569620254%
18,6,15,9.31645569620254%
18,6,16,9.31645569620254%
18,6,17,9.31645569620254%
18,6,18,9.31645569620254%
18,6,19,9.31645569620254%
18,6,20,9.31645569620254%
19,6,1,9.151898734177228%
19,6,2,9.417721518987351%
19,6,3,9.265822784810135%
19,6,4,9.303797468354439%
19,6,5,9.31645569620254%
19,6,6,9.31645569620254%
19,6,7,9.31645569620254%
19,6,8,9.31645569620254%
19,6,9,9.31645569620254%
19,6,10,9.31645569620254%
19,6,11,9.31645569620254%
19,6,12,9.31645569620254%
19,6,13,9.31645569620254%
19,6,14,9.31645569620254%
19,6,15,9.31645569620254%
19,6,16,9.31645569620254%
19,6,17,9.31645569620254%
19,6,18,9.31645569620254%
19,6,19,9.31645569620254%
19,6,20,9.31645569620254%
20,6,1,9.151898734177228%
20,6,2,9.417721518987351%
20,6,3,9.303797468354439%
20,6,4,9.303797468354439%
20,6,5,9.31645569620254%
20,6,6,9.31645569620254%
20,6,7,9.31645569620254%
20,6,8,9.31645569620254%
20,6,9,9.31645569620254%
20,6,10,9.31645569620254%
20,6,11,9.31645569620254%
20,6,12,9.31645569620254%
20,6,13,9.31645569620254%
20,6,14,9.31645569620254%
20,6,15,9.31645569620254%
20,6,16,9.31645569620254%
20,6,17,9.31645569620254%
20,6,18,9.31645569620254%
20,6,19,9.31645569620254%
20,6,20,9.31645569620254%
