R,T,I,score
1,6,1,93.45905483405483%
1,6,2,90.33333333333336%
1,6,3,84.83333333333331%
1,6,4,19.0%
1,6,5,30.166666666666664%
1,6,6,38.666666666666664%
1,6,7,20.0%
1,6,8,12.5%
1,6,9,8.0%
1,6,10,9.5%
1,6,11,12.5%
1,6,12,15.0%
1,6,13,5.0%
1,6,14,10.0%
1,6,15,5.0%
1,6,16,5.0%
1,6,17,5.0%
1,6,18,5.0%
1,6,19,5.0%
1,6,20,5.0%
2,6,1,90.92697857697853%
2,6,2,88.10595238095237%
2,6,3,87.73333333333336%
2,6,4,86.88333333333334%
2,6,5,90.13333333333334%
2,6,6,85.95%
2,6,7,92.68333333333332%
2,6,8,85.70476190476191%
2,6,9,93.01666666666668%
2,6,10,37.166666666666664%
2,6,11,73.0%
2,6,12,89.18333333333334%
2,6,13,89.41666666666669%
2,6,14,42.66666666666666%
2,6,15,51.66666666666666%
2,6,16,51.66666666666666%
2,6,17,51.66666666666666%
2,6,18,51.66666666666666%
2,6,19,51.66666666666666%
2,6,20,51.66666666666666%
3,6,1,91.11614488452724%
3,6,2,91.76302863802862%
3,6,3,85.36190476190475%
3,6,4,85.30119047619046%
3,6,5,85.95714285714284%
3,6,6,88.44471639471634%
3,6,7,89.85894938394937%
3,6,8,89.45918248418246%
3,6,9,87.52168109668106%
3,6,10,86.28517316017316%
3,6,11,90.10396825396819%
3,6,12,91.74123376623375%
3,6,13,88.35714285714285%
3,6,14,92.00515873015867%
3,6,15,92.2301587301587%
3,6,16,92.2301587301587%
3,6,17,92.2301587301587%
3,6,18,92.2301587301587%
3,6,19,92.2301587301587%
3,6,20,92.2301587301587%
4,6,1,89.81839066935811%
4,6,2,91.25423065496592%
4,6,3,88.11820124320124%
4,6,4,83.38008658008656%
4,6,5,89.26914713253721%
4,6,6,88.94551384717792%
4,6,7,90.12126028859637%
4,6,8,87.1746379523469%
4,6,9,88.2770489030719%
4,6,10,87.31697006553813%
4,6,11,87.36974700136463%
4,6,12,88.6027572854898%
4,6,13,87.94458118122135%
4,6,14,89.74707621815378%
4,6,15,89.94803666163033%
4,6,16,89.94803666163033%
4,6,17,89.94803666163033%
4,6,18,89.94803666163033%
4,6,19,89.94803666163033%
4,6,20,89.94803666163033%
5,6,1,87.4129604786338%
5,6,2,90.12525897622812%
5,6,3,89.51913214494478%
5,6,4,88.06533367733054%
5,6,5,90.67386507795051%
5,6,6,89.65674551448456%
5,6,7,90.65256029283194%
5,6,8,89.17702047725014%
5,6,9,88.51591460679913%
5,6,10,88.64456202608258%
5,6,11,88.0397806891387%
5,6,12,89.10060732835305%
5,6,13,88.20624689857169%
5,6,14,90.34437111689705%
5,6,15,90.67188652545082%
5,6,16,90.67188652545082%
5,6,17,90.67188652545082%
5,6,18,90.67188652545082%
5,6,19,90.67188652545082%
5,6,20,90.67188652545082%
6,6,1,88.56320935107277%
6,6,2,89.95963883232423%
6,6,3,89.1383193787188%
6,6,4,90.82680775762049%
6,6,5,90.40452994640535%
6,6,6,90.79881512012741%
6,6,7,91.82895704457225%
6,6,8,90.58588490183487%
6,6,9,90.22835725842691%
6,6,10,90.41641655501631%
6,6,11,89.87729783011726%
6,6,12,90.16234373365387%
6,6,13,89.89639867416331%
6,6,14,90.71287660906403%
6,6,15,90.29274705809625%
6,6,16,90.29274705809625%
6,6,17,90.29274705809625%
6,6,18,90.29274705809625%
6,6,19,90.29274705809625%
6,6,20,90.29274705809625%
7,6,1,88.52442372172177%
7,6,2,89.68632366350663%
7,6,3,88.49428454299971%
7,6,4,91.20738170049674%
7,6,5,90.62817173015159%
7,6,6,90.92553938978006%
7,6,7,91.81654321467256%
7,6,8,90.80607431717077%
7,6,9,90.7783602413801%
7,6,10,91.00124992321658%
7,6,11,90.66579708222746%
7,6,12,90.96737736075652%
7,6,13,89.93193398970098%
7,6,14,90.09970868002293%
7,6,15,90.1962175747505%
7,6,16,90.1962175747505%
7,6,17,90.1962175747505%
7,6,18,90.1962175747505%
7,6,19,90.1962175747505%
7,6,20,90.1962175747505%
8,6,1,88.30954804860714%
8,6,2,90.62805491220321%
8,6,3,88.16407298439333%
8,6,4,90.71261078842541%
8,6,5,91.26141334685931%
8,6,6,91.34197470192268%
8,6,7,91.54221397415903%
8,6,8,90.77272282779282%
8,6,9,91.36497059850615%
8,6,10,91.60147406287285%
8,6,11,90.94334924181722%
8,6,12,91.1173575822858%
8,6,13,90.07769265806493%
8,6,14,89.8377026913491%
8,6,15,90.31795801506502%
8,6,16,90.31795801506502%
8,6,17,90.31795801506502%
8,6,18,90.31795801506502%
8,6,19,90.31795801506502%
8,6,20,90.31795801506502%
9,6,1,89.16917081581082%
9,6,2,90.90760855221178%
9,6,3,89.03755831237333%
9,6,4,91.15390185390504%
9,6,5,91.79611665138735%
9,6,6,91.74202340213937%
9,6,7,91.58422002828091%
9,6,8,91.01919135588435%
9,6,9,91.24659175128394%
9,6,10,91.68466791486806%
9,6,11,91.22024816139839%
9,6,12,91.31060515896812%
9,6,13,90.72027235164738%
9,6,14,90.58648628880732%
9,6,15,90.29417167137998%
9,6,16,90.29417167137998%
9,6,17,90.29417167137998%
9,6,18,90.29417167137998%
9,6,19,90.29417167137998%
9,6,20,90.29417167137998%
10,6,1,88.75136536039666%
10,6,2,90.88128902404351%
10,6,3,89.6705044286437%
10,6,4,91.21887382383407%
10,6,5,91.6621028312012%
10,6,6,91.83760209814083%
10,6,7,91.53304656220483%
10,6,8,91.35887659329119%
10,6,9,91.41027017699663%
10,6,10,91.81819315668406%
10,6,11,91.38101167913538%
10,6,12,91.4951890153142%
10,6,13,91.25677260171737%
10,6,14,91.10580818838824%
10,6,15,90.98238367001403%
10,6,16,90.98238367001403%
10,6,17,90.98238367001403%
10,6,18,90.98238367001403%
10,6,19,90.98238367001403%
10,6,20,90.98238367001403%
11,6,1,88.40132455579065%
11,6,2,91.1461430220338%
11,6,3,90.00844286305846%
11,6,4,91.48529107942328%
11,6,5,92.10813312901452%
11,6,6,91.93328559462452%
11,6,7,91.98715916482467%
11,6,8,91.23776705975048%
11,6,9,91.58697502108643%
11,6,10,91.92983135713683%
11,6,11,91.96080575661246%
11,6,12,91.68487219448271%
11,6,13,91.41016564634603%
11,6,14,91.36996162966072%
11,6,15,91.50556210748445%
11,6,16,91.50556210748445%
11,6,17,91.50556210748445%
11,6,18,91.50556210748445%
11,6,19,91.50556210748445%
11,6,20,91.50556210748445%
12,6,1,88.35503446717608%
12,6,2,90.80905060031448%
12,6,3,90.87417328701805%
12,6,4,91.29737518839771%
12,6,5,91.89643685434748%
12,6,6,91.76363775363266%
12,6,7,92.11282252113725%
12,6,8,91.50323231190127%
12,6,9,91.61217834891268%
12,6,10,91.90116510984367%
12,6,11,91.9221022013956%
12,6,12,91.86229166374662%
12,6,13,91.59935814399199%
12,6,14,91.50449291629549%
12,6,15,91.58291186489069%
12,6,16,91.58291186489069%
12,6,17,91.58291186489069%
12,6,18,91.58291186489069%
12,6,19,91.58291186489069%
12,6,20,91.58291186489069%
13,6,1,88.18370885650343%
13,6,2,90.26975420732605%
13,6,3,91.15921700382127%
13,6,4,91.37794240025356%
13,6,5,91.7338744706703%
13,6,6,91.8029741094713%
13,6,7,92.2826983975872%
13,6,8,92.05476324662642%
13,6,9,91.69480607179489%
13,6,10,91.72300982343761%
13,6,11,91.76094697208563%
13,6,12,91.66543893690827%
13,6,13,91.74834077062579%
13,6,14,91.5179728310814%
13,6,15,91.65892058219768%
13,6,16,91.65892058219768%
13,6,17,91.65892058219768%
13,6,18,91.65892058219768%
13,6,19,91.65892058219768%
13,6,20,91.65892058219768%
14,6,1,87.66756202441002%
14,6,2,90.55445606103835%
14,6,3,91.31325955133195%
14,6,4,91.59879279938274%
14,6,5,91.60106733206241%
14,6,6,92.40832573105736%
14,6,7,92.34495716371555%
14,6,8,92.07760793644806%
14,6,9,91.60766968313466%
14,6,10,91.80993981096886%
14,6,11,91.6576578166963%
14,6,12,91.61126624011882%
14,6,13,91.60533652153923%
14,6,14,91.9611929208712%
14,6,15,91.64184322388957%
14,6,16,91.64184322388957%
14,6,17,91.64184322388957%
14,6,18,91.64184322388957%
14,6,19,91.64184322388957%
14,6,20,91.64184322388957%
15,6,1,87.76075906180509%
15,6,2,90.57139936829768%
15,6,3,91.20229638640039%
15,6,4,91.51303200237189%
15,6,5,91.95662935178632%
15,6,6,92.43803887894428%
15,6,7,92.32674434305696%
15,6,8,92.21249893820874%
15,6,9,91.82856559826901%
15,6,10,91.9511788400078%
15,6,11,91.7058216847923%
15,6,12,91.79996859969644%
15,6,13,91.55599482740739%
15,6,14,91.94059593170263%
15,6,15,91.73200294074145%
15,6,16,91.73200294074145%
15,6,17,91.73200294074145%
15,6,18,91.73200294074145%
15,6,19,91.73200294074145%
15,6,20,91.73200294074145%
16,6,1,87.60843834873933%
16,6,2,90.52273585698755%
16,6,3,91.02738882070658%
16,6,4,91.78170344357562%
16,6,5,91.95558269855721%
16,6,6,92.50253779733384%
16,6,7,92.29343622399254%
16,6,8,92.29790814281425%
16,6,9,91.95402351938861%
16,6,10,91.86966264522248%
16,6,11,91.73138554038047%
16,6,12,91.78412208667606%
16,6,13,91.54548816148625%
16,6,14,92.08140667496471%
16,6,15,91.9759000703954%
16,6,16,91.9759000703954%
16,6,17,91.9759000703954%
16,6,18,91.9759000703954%
16,6,19,91.9759000703954%
16,6,20,91.9759000703954%
17,6,1,87.92232131839175%
17,6,2,90.34117587682891%
17,6,3,91.20378797888206%
17,6,4,91.9445259304151%
17,6,5,92.00432592363339%
17,6,6,92.5744185183309%
17,6,7,92.13704129384593%
17,6,8,92.34037140957778%
17,6,9,92.13144541097925%
17,6,10,91.94564253804496%
17,6,11,91.81608233214854%
17,6,12,92.01917373522814%
17,6,13,91.88636279364133%
17,6,14,92.11597201710744%
17,6,15,92.13787133843107%
17,6,16,92.13787133843107%
17,6,17,92.13787133843107%
17,6,18,92.13787133843107%
17,6,19,92.13787133843107%
17,6,20,92.13787133843107%
18,6,1,87.78318954117904%
18,6,2,90.14041305601168%
18,6,3,91.26623397664525%
18,6,4,91.90611694683723%
18,6,5,91.89653540897334%
18,6,6,92.46277138429006%
18,6,7,92.06864620723543%
18,6,8,92.25280321679337%
18,6,9,92.26317984925532%
18,6,10,91.88112546014605%
18,6,11,91.84803452582979%
18,6,12,92.13416265563347%
18,6,13,92.13156859369397%
18,6,14,92.08858080500329%
18,6,15,92.14501559987572%
18,6,16,92.14501559987572%
18,6,17,92.14501559987572%
18,6,18,92.14501559987572%
18,6,19,92.14501559987572%
18,6,20,92.14501559987572%
19,6,1,88.00424783536478%
19,6,2,90.31103777082477%
19,6,3,91.4362483499275%
19,6,4,91.7627318346338%
19,6,5,92.07842035994834%
19,6,6,92.31704754316772%
19,6,7,92.09458683996976%
19,6,8,92.20754484689347%
19,6,9,92.21077467326568%
19,6,10,91.89394300256676%
19,6,11,92.10743256809995%
19,6,12,92.0989942828372%
19,6,13,92.22120521857087%
19,6,14,92.08893022816423%
19,6,15,92.12441799517086%
19,6,16,92.12441799517086%
19,6,17,92.12441799517086%
19,6,18,92.12441799517086%
19,6,19,92.12441799517086%
19,6,20,92.12441799517086%
20,6,1,88.21715823338705%
20,6,2,90.08293775203842%
20,6,3,91.71302779307723%
20,6,4,91.73554073846573%
20,6,5,92.09012093715957%
20,6,6,92.24920495960193%
20,6,7,92.19086201705177%
20,6,8,92.20164666699493%
20,6,9,92.11613767439036%
20,6,10,92.03445667971931%
20,6,11,92.14904368952044%
20,6,12,92.14456597909297%
20,6,13,92.14700770984471%
20,6,14,92.13504944289258%
20,6,15,92.19596917628229%
20,6,16,92.19596917628229%
20,6,17,92.19596917628229%
