1,6,1,2.0%
1,6,2,0.0%
1,6,3,1.0%
1,6,4,0.0%
1,6,5,0.0%
1,6,6,0.0%
1,6,7,0.0%
1,6,8,0.0%
1,6,9,0.0%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,1.0%
1,6,19,1.0%
1,6,20,1.0%
2,6,1,5.0%
2,6,2,3.0%
2,6,3,3.0%
2,6,4,2.0%
2,6,5,4.0%
2,6,6,0.0%
2,6,7,0.0%
2,6,8,0.0%
2,6,9,0.0%
2,6,10,0.0%
2,6,11,1.0%
2,6,12,1.0%
2,6,13,1.0%
2,6,14,0.0%
2,6,15,0.0%
2,6,16,0.0%
2,6,17,1.0%
2,6,18,1.0%
2,6,19,1.0%
2,6,20,1.0%
3,6,1,11.0%
3,6,2,11.0%
3,6,3,4.0%
3,6,4,3.0%
3,6,5,11.0%
3,6,6,6.0%
3,6,7,9.0%
3,6,8,5.0%
3,6,9,7.0%
3,6,10,5.0%
3,6,11,3.0%
3,6,12,5.0%
3,6,13,5.0%
3,6,14,6.0%
3,6,15,4.0%
3,6,16,3.0%
3,6,17,1.0%
3,6,18,2.0%
3,6,19,2.0%
3,6,20,4.0%
4,6,1,13.0%
4,6,2,16.0%
4,6,3,11.0%
4,6,4,13.0%
4,6,5,18.0%
4,6,6,22.0%
4,6,7,24.0%
4,6,8,16.0%
4,6,9,20.0%
4,6,10,19.0%
4,6,11,20.0%
4,6,12,18.0%
4,6,13,15.0%
4,6,14,21.0%
4,6,15,19.0%
4,6,16,16.0%
4,6,17,16.0%
4,6,18,13.0%
4,6,19,20.0%
4,6,20,24.0%
5,6,1,15.0%
5,6,2,17.0%
5,6,3,15.0%
5,6,4,23.0%
5,6,5,36.0%
5,6,6,33.0%
5,6,7,33.0%
5,6,8,28.0%
5,6,9,33.0%
5,6,10,34.0%
5,6,11,34.0%
5,6,12,34.0%
5,6,13,36.0%
5,6,14,43.0%
5,6,15,41.0%
5,6,16,44.0%
5,6,17,40.0%
5,6,18,38.0%
5,6,19,42.0%
5,6,20,41.0%
6,6,1,18.0%
6,6,2,22.0%
6,6,3,20.0%
6,6,4,35.0%
6,6,5,41.0%
6,6,6,42.0%
6,6,7,49.0%
6,6,8,47.0%
6,6,9,41.0%
6,6,10,44.0%
6,6,11,46.0%
6,6,12,44.0%
6,6,13,47.0%
6,6,14,55.0%
6,6,15,54.0%
6,6,16,57.0%
6,6,17,55.0%
6,6,18,59.0%
6,6,19,54.0%
6,6,20,62.0%
7,6,1,20.0%
7,6,2,26.0%
7,6,3,21.0%
7,6,4,41.0%
7,6,5,50.0%
7,6,6,50.0%
7,6,7,52.0%
7,6,8,49.0%
7,6,9,49.0%
7,6,10,49.0%
7,6,11,52.0%
7,6,12,60.0%
7,6,13,56.0%
7,6,14,61.0%
7,6,15,59.0%
7,6,16,63.0%
7,6,17,66.0%
7,6,18,67.0%
7,6,19,71.0%
7,6,20,71.0%
8,6,1,20.0%
8,6,2,33.0%
8,6,3,23.0%
8,6,4,43.0%
8,6,5,56.0%
8,6,6,56.0%
8,6,7,57.0%
8,6,8,52.0%
8,6,9,55.0%
8,6,10,60.0%
8,6,11,58.0%
8,6,12,65.0%
8,6,13,71.0%
8,6,14,70.0%
8,6,15,64.0%
8,6,16,73.0%
8,6,17,77.0%
8,6,18,73.0%
8,6,19,76.0%
8,6,20,82.0%
9,6,1,27.0%
9,6,2,36.0%
9,6,3,28.0%
9,6,4,47.0%
9,6,5,59.0%
9,6,6,62.0%
9,6,7,63.0%
9,6,8,57.0%
9,6,9,60.0%
9,6,10,62.0%
9,6,11,61.0%
9,6,12,67.0%
9,6,13,75.0%
9,6,14,76.0%
9,6,15,80.0%
9,6,16,79.0%
9,6,17,80.0%
9,6,18,80.0%
9,6,19,82.0%
9,6,20,85.0%
10,6,1,27.0%
10,6,2,40.0%
10,6,3,33.0%
10,6,4,52.0%
10,6,5,61.0%
10,6,6,66.0%
10,6,7,66.0%
10,6,8,61.0%
10,6,9,67.0%
10,6,10,74.0%
10,6,11,77.0%
10,6,12,70.0%
10,6,13,76.0%
10,6,14,81.0%
10,6,15,87.0%
10,6,16,79.0%
10,6,17,80.0%
10,6,18,86.0%
10,6,19,89.0%
10,6,20,87.0%
11,6,1,27.0%
11,6,2,45.0%
11,6,3,41.0%
11,6,4,54.0%
11,6,5,71.0%
11,6,6,69.0%
11,6,7,76.0%
11,6,8,70.0%
11,6,9,68.0%
11,6,10,74.0%
11,6,11,78.0%
11,6,12,79.0%
11,6,13,81.0%
11,6,14,83.0%
11,6,15,90.0%
11,6,16,88.0%
11,6,17,86.0%
11,6,18,92.0%
11,6,19,91.0%
11,6,20,91.0%
12,6,1,27.0%
12,6,2,47.0%
12,6,3,48.0%
12,6,4,60.0%
12,6,5,75.0%
12,6,6,77.0%
12,6,7,82.0%
12,6,8,76.0%
12,6,9,70.0%
12,6,10,75.0%
12,6,11,82.0%
12,6,12,81.0%
12,6,13,85.0%
12,6,14,89.0%
12,6,15,91.0%
12,6,16,91.0%
12,6,17,91.0%
12,6,18,92.0%
12,6,19,94.0%
12,6,20,95.0%
13,6,1,27.0%
13,6,2,47.0%
13,6,3,56.0%
13,6,4,67.0%
13,6,5,77.0%
13,6,6,79.0%
13,6,7,88.0%
13,6,8,82.0%
13,6,9,73.0%
13,6,10,75.0%
13,6,11,82.0%
13,6,12,83.0%
13,6,13,86.0%
13,6,14,93.0%
13,6,15,92.0%
13,6,16,91.0%
13,6,17,93.0%
13,6,18,94.0%
13,6,19,94.0%
13,6,20,97.0%
14,6,1,27.0%
14,6,2,49.0%
14,6,3,62.0%
14,6,4,69.0%
14,6,5,79.0%
14,6,6,89.0%
14,6,7,92.0%
14,6,8,90.0%
14,6,9,76.0%
14,6,10,80.0%
14,6,11,82.0%
14,6,12,89.0%
14,6,13,86.0%
14,6,14,93.0%
14,6,15,92.0%
14,6,16,93.0%
14,6,17,94.0%
14,6,18,94.0%
14,6,19,95.0%
14,6,20,98.0%
15,6,1,27.0%
15,6,2,49.0%
15,6,3,64.0%
15,6,4,71.0%
15,6,5,84.0%
15,6,6,93.0%
15,6,7,94.0%
15,6,8,91.0%
15,6,9,84.0%
15,6,10,83.0%
15,6,11,87.0%
15,6,12,94.0%
15,6,13,94.0%
15,6,14,93.0%
15,6,15,93.0%
15,6,16,93.0%
15,6,17,94.0%
15,6,18,96.0%
15,6,19,98.0%
15,6,20,99.0%
16,6,1,27.0%
16,6,2,51.0%
16,6,3,66.0%
16,6,4,76.0%
16,6,5,84.0%
16,6,6,93.0%
16,6,7,94.0%
16,6,8,94.0%
16,6,9,93.0%
16,6,10,85.0%
16,6,11,89.0%
16,6,12,94.0%
16,6,13,94.0%
16,6,14,94.0%
16,6,15,94.0%
16,6,16,94.0%
16,6,17,94.0%
16,6,18,97.0%
16,6,19,99.0%
16,6,20,99.0%
17,6,1,29.0%
