R,T,I,score
1,6,1,2.5%
1,6,2,2.4390243902439024%
1,6,3,0.0%
1,6,4,0.0%
1,6,5,0.0%
1,6,6,0.0%
1,6,7,0.0%
1,6,8,0.0%
1,6,9,0.0%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,100.0%
1,6,19,50.0%
1,6,20,50.0%
2,6,1,0.0%
2,6,2,0.0%
2,6,3,0.0%
2,6,4,0.0%
2,6,5,0.0%
2,6,6,0.0%
2,6,7,0.0%
2,6,8,0.0%
2,6,9,0.0%
2,6,10,0.0%
2,6,11,0.0%
2,6,12,4.0%
2,6,13,3.571428571428571%
2,6,14,0.0%
2,6,15,0.0%
2,6,16,0.0%
2,6,17,0.0%
2,6,18,0.0%
2,6,19,0.0%
2,6,20,0.0%
3,6,1,0.0%
3,6,2,0.0%
3,6,3,1.9230769230769231%
3,6,4,0.0%
3,6,5,0.0%
3,6,6,0.0%
3,6,7,1.9230769230769231%
3,6,8,2.0408163265306123%
3,6,9,0.0%
3,6,10,3.7735849056603774%
3,6,11,3.6363636363636362%
3,6,12,1.7857142857142856%
3,6,13,1.8518518518518516%
3,6,14,4.0%
3,6,15,4.0%
3,6,16,2.272727272727273%
3,6,17,0.0%
3,6,18,2.127659574468085%
3,6,19,0.0%
3,6,20,0.0%
4,6,1,0.0%
4,6,2,1.639344262295082%
4,6,3,1.7543859649122806%
4,6,4,5.263157894736842%
4,6,5,2.0%
4,6,6,0.0%
4,6,7,0.0%
4,6,8,0.0%
4,6,9,0.0%
4,6,10,1.7241379310344827%
4,6,11,3.389830508474576%
4,6,12,0.0%
4,6,13,1.639344262295082%
4,6,14,3.225806451612903%
4,6,15,1.7543859649122806%
4,6,16,1.7241379310344827%
4,6,17,1.6666666666666667%
4,6,18,0.0%
4,6,19,0.0%
4,6,20,0.0%
5,6,1,0.0%
5,6,2,1.6129032258064515%
5,6,3,1.6129032258064515%
5,6,4,2.2222222222222223%
5,6,5,0.0%
