R,T,I,score
1,6,1,3.530930451557385%
1,6,2,3.5790403954490637%
1,6,3,0.9504079254079255%
1,6,4,0.0%
1,6,5,0.0%
1,6,6,0.0%
1,6,7,0.0%
1,6,8,0.0%
1,6,9,0.0%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,50.0%
1,6,19,36.5%
1,6,20,39.5%
2,6,1,0.9414389233954451%
2,6,2,1.4804493821588989%
2,6,3,0.7094358112311404%
2,6,4,1.5073846904729258%
2,6,5,0.997515350146929%
2,6,6,0.0%
2,6,7,0.5023720416673707%
2,6,8,1.1730696189438954%
2,6,9,2.240757853257853%
2,6,10,0.0%
2,6,11,3.369332464920699%
2,6,12,5.983986846486846%
2,6,13,5.790191181367652%
2,6,14,0.0%
2,6,15,0.0%
2,6,16,0.0%
2,6,17,2.932539682539682%
2,6,18,2.646428571428571%
2,6,19,2.2008658008658006%
2,6,20,2.169119769119769%
3,6,1,1.1254894287846229%
3,6,2,1.774247423806254%
3,6,3,2.7430525394384557%
3,6,4,1.701758853685762%
3,6,5,0.3883634481460569%
3,6,6,2.1958724544858446%
3,6,7,4.4101848189218975%
3,6,8,3.479472609210216%
3,6,9,1.1288545051892322%
3,6,10,5.153333088423044%
3,6,11,3.927670373191213%
3,6,12,2.609502315541474%
3,6,13,3.112083564755091%
3,6,14,5.155617521030951%
3,6,15,4.822907307881776%
3,6,16,2.413827488164637%
3,6,17,0.05555555555555555%
3,6,18,2.6520667451930064%
3,6,19,0.3694355337308628%
3,6,20,0.2075757575757576%
4,6,1,3.019539263688635%
4,6,2,3.157257382411929%
4,6,3,2.761227110276819%
4,6,4,6.1699366815762025%
4,6,5,2.1148862557901453%
4,6,6,1.2728191032688783%
4,6,7,2.7913367356888035%
4,6,8,2.701008369405865%
4,6,9,2.1992917621553296%
4,6,10,2.7906744112382724%
4,6,11,4.231304968718046%
4,6,12,1.4654722362416401%
4,6,13,2.9795829913710885%
4,6,14,4.52458497049575%
4,6,15,2.849479445106953%
4,6,16,2.822609971086056%
4,6,17,2.1156111115978358%
4,6,18,1.2103557872614177%
4,6,19,0.9868792148663609%
4,6,20,0.9428407417548946%
5,6,1,2.340859407403635%
5,6,2,2.9026481697688253%
5,6,3,3.0861483776755%
5,6,4,3.4644046656083356%
5,6,5,1.2779607732624974%
5,6,6,2.6322234383119056%
5,6,7,1.7491837907107313%
5,6,8,1.5328462602663508%
5,6,9,1.2612357824156062%
5,6,10,2.1622022161281462%
5,6,11,2.3615756268899464%
5,6,12,0.4408775835757613%
5,6,13,1.2033517428944531%
5,6,14,4.502729428701912%
5,6,15,6.072570410292467%
5,6,16,7.37786626659975%
5,6,17,4.296913705367023%
5,6,18,2.2795651774378136%
