R,T,I,score
1,6,1,6.686691451061%
1,6,2,5.724069274360621%
1,6,3,10.419667832167828%
1,6,4,3.934221334221333%
1,6,5,1.0345238095238094%
1,6,6,4.127777777777777%
1,6,7,0.0%
1,6,8,0.0%
1,6,9,0.0%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,5.833333333333332%
1,6,18,66.98333333333332%
1,6,19,65.66666666666666%
1,6,20,63.08333333333333%
2,6,1,3.975692443072847%
2,6,2,4.897922852310896%
2,6,3,5.338446196333047%
2,6,4,3.804590305849013%
2,6,5,4.249425799467649%
2,6,6,3.4088240524174496%
2,6,7,3.021672487749383%
2,6,8,3.510496095889336%
2,6,9,4.013378926938961%
2,6,10,0.0%
2,6,11,4.07402236136756%
2,6,12,6.876014671602908%
2,6,13,7.68417122093593%
2,6,14,5.966383616383617%
2,6,15,7.668512043512043%
2,6,16,7.7999222999223%
2,6,17,12.682276465364694%
2,6,18,9.006270526858764%
2,6,19,9.465019702519701%
2,6,20,8.324690587190588%
3,6,1,3.9839601868225945%
3,6,2,7.791970609076616%
3,6,3,3.077734671475038%
3,6,4,2.384329512236667%
3,6,5,2.3705836241567164%
3,6,6,3.8784287705804013%
3,6,7,6.471849940933218%
3,6,8,5.6829217749319945%
3,6,9,1.7631307225801296%
3,6,10,3.7635043937930432%
3,6,11,3.54505314752514%
3,6,12,5.601393223114326%
3,6,13,5.898623603261512%
3,6,14,5.546153769040394%
3,6,15,5.863165764905993%
3,6,16,4.063773278759331%
3,6,17,2.1017790353212873%
3,6,18,5.099672909561575%
3,6,19,2.9601319907274526%
3,6,20,3.603227216372567%
4,6,1,4.448365045990384%
4,6,2,7.696880651264139%
4,6,3,2.747569108513429%
4,6,4,4.801276092117215%
4,6,5,3.1506726028813428%
4,6,6,4.638469757054165%
4,6,7,6.565081085534814%
4,6,8,5.037269974847905%
4,6,9,3.241000428008627%
4,6,10,5.429377263363712%
4,6,11,6.395031861807455%
4,6,12,4.39445242635627%
4,6,13,4.909968650785726%
4,6,14,5.975620370661759%
4,6,15,6.046516272642379%
4,6,16,5.503180065599538%
4,6,17,3.0562244608001525%
4,6,18,3.6817938204284193%
4,6,19,4.220637884547956%
4,6,20,5.268510190412764%
5,6,1,3.847050871206318%
5,6,2,6.9785862679172235%
5,6,3,3.27477702477857%
5,6,4,6.033371995814424%
5,6,5,3.465623507377947%
5,6,6,7.118712133509157%
5,6,7,6.299502209849866%
5,6,8,5.385529469638709%
5,6,9,3.208780341711577%
5,6,10,4.679838937011406%
5,6,11,4.79171936260586%
5,6,12,2.288781540003202%
5,6,13,3.4104606325549747%
5,6,14,6.318511127826644%
5,6,15,7.9664490126095835%
5,6,16,9.786517693064065%
5,6,17,7.476779366818904%
5,6,18,4.098741579048359%
5,6,19,4.818807008477663%
5,6,20,6.82127102851162%
6,6,1,3.944806370330754%
