R,T,I,score
1,6,1,93.28069985569986%
1,6,2,93.64642857142854%
1,6,3,92.8047619047619%
1,6,4,79.83333333333334%
1,6,5,83.88333333333334%
1,6,6,67.5%
1,6,7,57.5%
1,6,8,57.5%
1,6,9,21.0%
1,6,10,19.0%
1,6,11,17.0%
1,6,12,16.0%
1,6,13,6.0%
1,6,14,4.0%
1,6,15,5.0%
1,6,16,4.0%
1,6,17,4.0%
1,6,18,5.0%
1,6,19,3.0%
1,6,20,4.0%
2,6,1,92.73470059352412%
2,6,2,92.45059025941377%
2,6,3,90.88231213231212%
2,6,4,92.39150016650018%
2,6,5,91.86580086580085%
2,6,6,92.43730158730158%
2,6,7,93.27777777777777%
2,6,8,91.45555555555553%
2,6,9,91.84761904761905%
2,6,10,90.33333333333334%
2,6,11,92.29999999999998%
2,6,12,88.19047619047619%
2,6,13,73.75%
2,6,14,67.8%
2,6,15,64.91666666666666%
2,6,16,58.83333333333333%
2,6,17,40.25%
2,6,18,45.16666666666666%
2,6,19,49.0%
2,6,20,44.16666666666666%
3,6,1,91.07455112826626%
3,6,2,92.19112639999804%
3,6,3,91.7677742750885%
3,6,4,90.64984263242773%
3,6,5,90.90912566106064%
3,6,6,90.36902036302192%
3,6,7,90.2386951112183%
3,6,8,91.19415878239408%
3,6,9,91.58069504025387%
3,6,10,90.06494061494061%
3,6,11,90.14580419580417%
3,6,12,91.19867909867908%
3,6,13,92.17196969696968%
3,6,14,92.17927072927068%
3,6,15,90.62651515151512%
3,6,16,90.12987012987013%
3,6,17,89.17445887445885%
3,6,18,89.38531746031744%
3,6,19,90.36785714285713%
3,6,20,91.15476190476188%
4,6,1,90.4168802227222%
4,6,2,91.29725147744026%
4,6,3,91.57969183749736%
4,6,4,91.86170103480059%
4,6,5,92.05989700835471%
4,6,6,91.83856498999207%
4,6,7,91.30242456632418%
4,6,8,91.6380873984332%
4,6,9,91.80159969529682%
4,6,10,91.98148046445864%
4,6,11,91.91711947545974%
4,6,12,91.99238048302621%
4,6,13,91.94909836737997%
4,6,14,92.08005880843915%
4,6,15,92.03473248120127%
4,6,16,91.80976104562937%
4,6,17,91.76031427981283%
4,6,18,91.6704975474376%
4,6,19,91.77913778644599%
4,6,20,92.60889778812204%
5,6,1,89.74054021654003%
5,6,2,91.7239620316016%
5,6,3,92.35042809020077%
5,6,4,92.90485683668955%
5,6,5,92.91751857865249%
5,6,6,93.59434927800275%
5,6,7,93.63855685191605%
5,6,8,93.84800792964901%
5,6,9,93.4175155119438%
5,6,10,93.19293913957824%
5,6,11,93.31280276060757%
5,6,12,93.12927485737612%
5,6,13,93.1346482830947%
5,6,14,93.20032505796826%
5,6,15,93.305946377044%
5,6,16,93.48801934710808%
5,6,17,93.3177323098968%
5,6,18,93.20269473172752%
5,6,19,93.25946791976719%
5,6,20,93.39952096685882%
6,6,1,90.77140155202234%
6,6,2,92.71335266641834%
6,6,3,93.24362639500943%
6,6,4,93.46663694954317%
6,6,5,93.80810724463703%
6,6,6,94.05479371203813%
6,6,7,94.0942842572646%
6,6,8,94.34097188151328%
6,6,9,93.76046532730736%
6,6,10,93.57634999398981%
6,6,11,93.23480255327573%
6,6,12,93.01517362851135%
6,6,13,93.10595175484403%
6,6,14,93.19190404973176%
6,6,15,93.42748578144942%
6,6,16,93.36994178821044%
6,6,17,93.46539786081388%
6,6,18,93.59679125852537%
6,6,19,93.62177372196749%
6,6,20,93.65807624041591%
7,6,1,90.79237966272674%
7,6,2,93.03987751940377%
7,6,3,93.69838775744921%
7,6,4,93.74007078867426%
7,6,5,94.05651922148569%
7,6,6,94.16265047480869%
7,6,7,94.16275165545721%
7,6,8,94.18970232616012%
7,6,9,93.98256101568528%
