R,T,I,score
1,6,1,8.138492063492064%
1,6,2,2.533333333333333%
1,6,3,14.9%
1,6,4,6.45%
1,6,5,12.533333333333333%
1,6,6,4.116666666666666%
1,6,7,2.8333333333333326%
1,6,8,4.749999999999999%
1,6,9,4.116666666666666%
1,6,10,3.666666666666666%
1,6,11,5.533333333333332%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,10.755555555555555%
2,6,2,6.538095238095237%
2,6,3,16.894841269841265%
2,6,4,13.326190476190474%
2,6,5,10.457539682539684%
2,6,6,5.926190476190476%
2,6,7,6.852380952380953%
2,6,8,5.165079365079364%
2,6,9,2.8%
2,6,10,3.1261904761904757%
2,6,11,4.266666666666667%
2,6,12,3.842857142857143%
2,6,13,2.4095238095238094%
2,6,14,2.852380952380952%
2,6,15,3.092857142857143%
2,6,16,2.852380952380952%
2,6,17,2.0190476190476185%
2,6,18,2.659523809523809%
2,6,19,2.342857142857143%
2,6,20,2.592857142857142%
3,6,1,9.673809523809522%
3,6,2,8.595634920634916%
3,6,3,12.99880952380952%
3,6,4,11.76230158730158%
3,6,5,11.698015873015873%
3,6,6,7.951587301587301%
3,6,7,7.439285714285712%
3,6,8,8.19642857142857%
3,6,9,9.810714285714285%
3,6,10,8.882539682539681%
3,6,11,8.63888888888889%
3,6,12,9.256349206349206%
3,6,13,9.213492063492064%
3,6,14,9.126587301587302%
3,6,15,8.817460317460316%
3,6,16,7.577777777777778%
3,6,17,8.206349206349206%
3,6,18,8.259126984126983%
3,6,19,8.235714285714284%
3,6,20,9.73531746031746%
4,6,1,9.412301587301586%
4,6,2,9.333333333333329%
4,6,3,9.707936507936502%
4,6,4,9.870634920634915%
4,6,5,10.773809523809517%
4,6,6,10.794444444444437%
4,6,7,10.657142857142855%
4,6,8,10.673015873015865%
4,6,9,9.9797619047619%
4,6,10,10.849999999999998%
4,6,11,9.808730158730155%
4,6,12,10.76944444444444%
4,6,13,10.162698412698411%
4,6,14,9.455158730158729%
4,6,15,9.13531746031746%
4,6,16,11.388492063492063%
4,6,17,10.570238095238095%
4,6,18,9.440476190476193%
4,6,19,10.049603174603176%
4,6,20,9.365873015873019%
5,6,1,10.826984126984122%
5,6,2,8.861904761904759%
5,6,3,11.13055555555555%
5,6,4,10.27738095238095%
5,6,5,10.919444444444439%
5,6,6,12.420238095238089%
5,6,7,12.515079365079359%
5,6,8,11.912301587301583%
5,6,9,11.644047619047615%
5,6,10,12.410317460317456%
5,6,11,11.801587301587297%
5,6,12,11.696031746031741%
5,6,13,11.298412698412692%
5,6,14,11.430952380952379%
5,6,15,11.024603174603172%
5,6,16,11.476984126984123%
5,6,17,11.280952380952376%
5,6,18,11.49087301587301%
5,6,19,11.074999999999996%
5,6,20,11.346031746031743%
6,6,1,10.94682539682539%
6,6,2,11.103571428571424%
6,6,3,13.549999999999995%
6,6,4,12.544047619047614%
6,6,5,12.806746031746027%
6,6,6,12.95555555555555%
6,6,7,12.449999999999994%
6,6,8,11.93055555555555%
6,6,9,12.373015873015866%
6,6,10,12.285317460317453%
6,6,11,10.967857142857135%
6,6,12,9.927380952380947%
6,6,13,9.88571428571428%
6,6,14,11.0845238095238%
6,6,15,11.2313492063492%
6,6,16,11.500793650793645%
6,6,17,11.569047619047613%
6,6,18,11.684126984126976%
6,6,19,11.47539682539682%
6,6,20,11.51587301587301%
7,6,1,11.633333333333331%
7,6,2,13.349999999999998%
7,6,3,12.736111111111109%
7,6,4,12.961111111111109%
7,6,5,13.213888888888885%
7,6,6,13.147222222222219%
7,6,7,13.205555555555552%
7,6,8,13.330555555555552%
7,6,9,13.138888888888884%
7,6,10,13.155555555555551%
7,6,11,12.173412698412694%
7,6,12,12.617857142857138%
7,6,13,12.349603174603171%
7,6,14,11.547222222222217%
7,6,15,11.513492063492059%
7,6,16,11.586111111111107%
7,6,17,12.306746031746025%
7,6,18,12.04007936507936%
7,6,19,12.15277777777777%
7,6,20,13.061111111111105%
8,6,1,12.099999999999998%
8,6,2,12.569444444444441%
8,6,3,11.647222222222219%
8,6,4,11.43611111111111%
8,6,5,12.322222222222221%
8,6,6,12.133333333333331%
8,6,7,12.499999999999998%
8,6,8,12.599999999999998%
8,6,9,12.647222222222219%
8,6,10,12.922222222222217%
8,6,11,12.89444444444444%
8,6,12,13.26111111111111%
8,6,13,12.87222222222222%
8,6,14,13.07222222222222%
8,6,15,13.386111111111106%
8,6,16,12.76111111111111%
8,6,17,12.619444444444442%
8,6,18,12.79444444444444%
8,6,19,13.086111111111109%
8,6,20,13.363888888888885%
9,6,1,12.280555555555551%
9,6,2,12.224999999999998%
9,6,3,11.51388888888889%
9,6,4,11.51388888888889%
9,6,5,11.588888888888889%
9,6,6,11.633333333333331%
9,6,7,11.21111111111111%
9,6,8,11.522222222222222%
9,6,9,11.522222222222222%
9,6,10,12.01111111111111%
9,6,11,12.233333333333333%
9,6,12,12.022222222222222%
9,6,13,11.699999999999998%
9,6,14,11.944444444444443%
9,6,15,12.277777777777777%
9,6,16,12.047222222222219%
9,6,17,11.922222222222222%
9,6,18,12.272222222222222%
9,6,19,12.369444444444444%
9,6,20,12.08333333333333%
10,6,1,11.933333333333332%
10,6,2,11.655555555555555%
10,6,3,11.422222222222222%
10,6,4,10.833333333333332%
10,6,5,11.444444444444443%
10,6,6,11.033333333333333%
10,6,7,10.822222222222221%
10,6,8,11.244444444444444%
10,6,9,11.055555555555554%
10,6,10,10.833333333333332%
10,6,11,11.022222222222222%
10,6,12,10.833333333333332%
10,6,13,10.944444444444443%
10,6,14,10.944444444444443%
10,6,15,10.766666666666666%
10,6,16,11.177777777777775%
10,6,17,10.944444444444443%
10,6,18,10.855555555555554%
10,6,19,10.766666666666666%
10,6,20,10.477777777777776%
11,6,1,11.81111111111111%
11,6,2,11.433333333333332%
11,6,3,11.1%
11,6,4,10.7%
11,6,5,10.71111111111111%
11,6,6,10.8%
11,6,7,10.81111111111111%
11,6,8,10.71111111111111%
11,6,9,10.61111111111111%
11,6,10,10.4%
