R,T,I,score
1,6,1,3.5520206182749323%
1,6,2,3.2190530949364775%
1,6,3,5.063408402695877%
1,6,4,3.6056096771495887%
1,6,5,5.932839076103645%
1,6,6,7.982888353476588%
1,6,7,8.00305389055389%
1,6,8,13.290685703185707%
1,6,9,5.6571178821178805%
1,6,10,6.167460317460316%
1,6,11,4.596439671439671%
1,6,12,0.25%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,4.218009355808652%
2,6,2,3.619876515265775%
2,6,3,5.2661921184164475%
2,6,4,4.280402593702843%
2,6,5,3.6731850041685608%
2,6,6,3.3301678028750064%
2,6,7,3.5650304486667492%
2,6,8,4.1045418898737305%
2,6,9,4.830278802448629%
2,6,10,5.491622692539079%
2,6,11,6.778461080897609%
2,6,12,6.9174027811571115%
2,6,13,5.80519707601087%
2,6,14,6.493587702263344%
2,6,15,5.396992648833742%
2,6,16,5.262547199239889%
2,6,17,5.045532916329119%
2,6,18,4.926438614145849%
2,6,19,4.859490201957896%
2,6,20,5.078626777145418%
3,6,1,3.3435583630427517%
3,6,2,4.6165937907738215%
3,6,3,6.477311561599014%
3,6,4,4.585302892745167%
3,6,5,4.936201205119681%
3,6,6,4.105762194671098%
3,6,7,3.9653443321781854%
3,6,8,4.1485299025827125%
3,6,9,4.917870547020462%
3,6,10,4.692717013613038%
3,6,11,4.500786422570053%
3,6,12,4.659962071355198%
3,6,13,4.977359450596983%
3,6,14,5.591068346902366%
3,6,15,5.402676698279839%
3,6,16,5.715866187642643%
3,6,17,5.054899534193247%
3,6,18,4.884943778646694%
3,6,19,4.452429432887512%
3,6,20,5.065852169851113%
4,6,1,3.8821978618892494%
4,6,2,4.53309491233352%
4,6,3,5.92372601664364%
4,6,4,4.997338902442363%
4,6,5,5.2171283743670696%
4,6,6,5.858878745746224%
4,6,7,4.602536937453403%
4,6,8,4.793393605258652%
4,6,9,5.2131089852824095%
4,6,10,5.512609640288478%
4,6,11,5.597846204666261%
4,6,12,6.171206321577564%
4,6,13,5.862171319020705%
4,6,14,5.894368182144514%
4,6,15,5.767554336109968%
4,6,16,5.769511449895346%
4,6,17,5.444377138388704%
4,6,18,5.6852523816399%
4,6,19,5.944236294553198%
4,6,20,6.374215555064865%
5,6,1,4.541835288370937%
5,6,2,5.295878263000185%
5,6,3,6.273410002437322%
5,6,4,6.172796437374669%
5,6,5,6.554801283115613%
5,6,6,6.8464693408529085%
5,6,7,5.886656206346187%
5,6,8,5.6334676832658115%
5,6,9,5.991895408362608%
5,6,10,6.007935721288333%
5,6,11,5.9284731431821625%
5,6,12,5.80384445337663%
5,6,13,5.910783053898058%
5,6,14,5.793608675205679%
5,6,15,5.549284483861718%
5,6,16,5.69904413766907%
5,6,17,5.690528875873429%
5,6,18,5.64650997898317%
5,6,19,5.596186019569382%
5,6,20,5.483921810599164%
6,6,1,5.021707861314793%
6,6,2,6.016135652045051%
6,6,3,6.705976013770822%
6,6,4,6.416169772931936%
6,6,5,6.581356127771858%
6,6,6,6.362915514421182%
6,6,7,6.506427068379107%
6,6,8,6.445771399375669%
6,6,9,6.3566051248329805%
6,6,10,6.303148414327632%
6,6,11,5.455106545266439%
6,6,12,5.313737239773127%
6,6,13,5.26701982875867%
6,6,14,5.328136298446323%
6,6,15,5.402745003912993%
6,6,16,5.526777240945788%
6,6,17,5.608381304822131%
6,6,18,5.627947446023853%
6,6,19,5.679455768143564%
6,6,20,5.860400403803568%
7,6,1,5.656931675919021%
7,6,2,6.359320004889631%
7,6,3,6.3617353111024055%
7,6,4,6.12848754620907%
7,6,5,6.266206367472194%
7,6,6,6.184334652689087%
7,6,7,6.324091520294055%
7,6,8,6.239501005323795%
7,6,9,6.301706454771084%
7,6,10,6.25091724841892%
7,6,11,6.14169225178553%
7,6,12,5.790140996023747%
7,6,13,5.7746898315985655%
7,6,14,5.538267211358488%
7,6,15,5.577845439037984%
7,6,16,5.702227452760434%
7,6,17,5.865757535824162%
7,6,18,5.883971023424725%
7,6,19,5.9459312839059715%
7,6,20,6.109258096999607%
8,6,1,5.4758743366338365%
8,6,2,5.781905857855231%
8,6,3,5.732754587184972%
8,6,4,5.614436196714682%
8,6,5,5.743644541112901%
8,6,6,5.555722758254407%
8,6,7,5.6496815420866096%
8,6,8,5.708321214650333%
8,6,9,5.883527864540525%
8,6,10,5.9191315014099875%
8,6,11,5.967658923355132%
