R,T,I,score
1,6,1,96.07261904761904%
1,6,2,92.48809523809524%
1,6,3,96.41428571428571%
1,6,4,97.84047619047618%
1,6,5,81.41666666666666%
1,6,6,63.5%
1,6,7,59.16666666666667%
1,6,8,53.0%
1,6,9,24.0%
1,6,10,15.5%
1,6,11,10.5%
1,6,12,56.5%
1,6,13,54.5%
1,6,14,53.0%
1,6,15,51.0%
1,6,16,51.0%
1,6,17,8.0%
1,6,18,9.0%
1,6,19,8.0%
1,6,20,8.0%
2,6,1,93.3562049062049%
2,6,2,93.12463924963926%
2,6,3,96.4154401154401%
2,6,4,96.247224997225%
2,6,5,93.21309523809525%
2,6,6,96.0039321789322%
2,6,7,89.6904761904762%
2,6,8,83.75%
2,6,9,91.1%
2,6,10,66.91666666666667%
2,6,11,73.74999999999999%
2,6,12,84.85%
2,6,13,87.5%
2,6,14,74.33333333333333%
2,6,15,76.83333333333333%
2,6,16,78.5%
2,6,17,78.75%
2,6,18,84.83333333333331%
2,6,19,75.05%
2,6,20,71.8%
3,6,1,92.30347430347429%
3,6,2,93.00141058202202%
3,6,3,94.6294709590375%
3,6,4,94.23710488857547%
3,6,5,92.51792749733926%
3,6,6,94.69623015873017%
3,6,7,94.1550192497561%
3,6,8,94.43071234321235%
3,6,9,93.29845252786427%
3,6,10,93.17299228549227%
3,6,11,92.62181707181703%
3,6,12,93.59251026751026%
3,6,13,93.54696137196137%
3,6,14,94.16320623820624%
3,6,15,94.48837828837826%
3,6,16,95.0359917859918%
3,6,17,94.81651126651124%
3,6,18,94.57074314574315%
3,6,19,94.97743506493505%
3,6,20,94.79585137085137%
4,6,1,91.47357364857363%
4,6,2,93.31620670369995%
4,6,3,94.8182141327511%
4,6,4,94.05926578319902%
4,6,5,95.11574786606185%
4,6,6,94.39025181893234%
4,6,7,94.9507562837557%
4,6,8,94.7369632383366%
4,6,9,94.49489168468139%
4,6,10,94.97944810415552%
4,6,11,94.51643004280132%
4,6,12,94.75216694358667%
4,6,13,95.00943636151298%
4,6,14,95.08871360026258%
4,6,15,95.19678775195592%
4,6,16,95.30963588517157%
4,6,17,95.6780641571359%
4,6,18,95.27697918538752%
4,6,19,95.90110690574535%
4,6,20,95.58724533145605%
5,6,1,91.42775784586931%
5,6,2,93.96337405142829%
5,6,3,95.11282643210167%
5,6,4,94.60893630649608%
5,6,5,95.01499640221743%
5,6,6,95.0064943868359%
5,6,7,95.11204640146599%
5,6,8,95.08218158920674%
5,6,9,94.94866736934476%
5,6,10,95.07829844225972%
5,6,11,95.24231704735776%
5,6,12,95.5101258534764%
5,6,13,95.76476866243642%
5,6,14,95.90112953424418%
5,6,15,96.02437753472155%
5,6,16,96.07131648190021%
5,6,17,96.06797024989173%
5,6,18,96.01701288763685%
5,6,19,96.12858159509283%
5,6,20,96.09876173036055%
6,6,1,91.93499066722751%
6,6,2,94.76124478032769%
6,6,3,95.07654861259938%
6,6,4,94.91360711880621%
6,6,5,95.529832315194%
6,6,6,95.43346602223959%
6,6,7,95.56988603208683%
6,6,8,95.64611187032433%
6,6,9,95.40600874969594%
6,6,10,95.47735688050814%
6,6,11,95.58503067171543%
6,6,12,95.8096551214678%
6,6,13,95.80230370989437%
6,6,14,95.9093076320723%
6,6,15,95.889245332602%
6,6,16,95.96739558761132%
6,6,17,95.90728432278571%
6,6,18,95.93550615214497%
6,6,19,95.97813116385741%
6,6,20,96.0757813904399%
7,6,1,92.10094748881933%
7,6,2,94.81273165647832%
7,6,3,94.9763965379014%
7,6,4,94.93329611601047%
7,6,5,95.6238616116708%
7,6,6,95.59329161534026%
7,6,7,95.71579752326903%
7,6,8,95.90635750252794%
7,6,9,95.56272190362641%
7,6,10,95.61685366791687%
7,6,11,95.68246520718189%
7,6,12,95.74281666103647%
7,6,13,95.76658043558182%
7,6,14,95.8676001671441%
7,6,15,95.82116382136564%
7,6,16,95.86818379341769%
7,6,17,95.78023094145557%
7,6,18,95.92269555076302%
7,6,19,95.93361222594385%
7,6,20,95.9639827043416%
8,6,1,92.6621897645511%
8,6,2,94.4741900023974%
8,6,3,95.02438105634695%
8,6,4,95.06505203239865%
8,6,5,95.59368365940762%
8,6,6,95.65770876210179%
8,6,7,95.79161023734746%
8,6,8,95.85713530975066%
8,6,9,95.70386941651648%
8,6,10,95.78252192082454%
8,6,11,95.80596024062743%
8,6,12,95.77349343593188%
8,6,13,95.79554279971653%
8,6,14,95.80651657825996%
8,6,15,95.81089904138857%
8,6,16,95.81742241504928%
8,6,17,95.82637282725801%
8,6,18,95.92267779047569%
8,6,19,95.93173955082115%
8,6,20,95.93173955082115%
9,6,1,93.02946193534157%
9,6,2,94.79766882143757%
9,6,3,95.26414464466147%
9,6,4,95.16499355347354%
9,6,5,95.57510498238602%
9,6,6,95.73150475882092%
9,6,7,95.809093583898%
9,6,8,95.77732003917046%
9,6,9,95.74613798212945%
9,6,10,95.85290684069454%
9,6,11,95.83210147319468%
9,6,12,95.80693599159753%
9,6,13,95.81989702143917%
9,6,14,95.82124928463354%
9,6,15,95.82903026082047%
9,6,16,95.83894174659845%
9,6,17,95.92642487008925%
9,6,18,95.9300236105301%
9,6,19,95.93492932596213%
9,6,20,95.93492932596213%
10,6,1,93.19546321194996%
10,6,2,94.7860639646364%
10,6,3,95.3391780107046%
10,6,4,95.54302553250331%
10,6,5,95.60706179868451%
10,6,6,95.8101491635848%
10,6,7,95.85679154443767%
10,6,8,95.74399348702076%
10,6,9,95.74331239836772%
10,6,10,95.92470564250354%
10,6,11,95.89969552538815%
10,6,12,95.8570402943655%
10,6,13,95.82659306279504%
10,6,14,95.83288796467818%
10,6,15,95.92460507924508%
10,6,16,95.93004275923347%
10,6,17,95.93137313819541%
10,6,18,95.93492932596213%
10,6,19,95.93492932596213%
10,6,20,95.93492932596213%
11,6,1,92.94994119115805%
11,6,2,94.80584311341993%
11,6,3,95.40706388306569%
11,6,4,95.58142570257021%
11,6,5,95.77117858378507%
11,6,6,95.82002226773032%
11,6,7,95.82186672096985%
11,6,8,95.73413956791762%
11,6,9,95.900175006548%
11,6,10,95.90909423237994%
11,6,11,95.91007177786967%
11,6,12,95.91198512211295%
11,6,13,95.91906767370769%
11,6,14,95.92136621284831%
