R,T,I,score
1,6,1,0.0%
1,6,2,0.0%
1,6,3,1.9230769230769231%
1,6,4,5.0%
1,6,5,2.564102564102564%
1,6,6,9.090909090909092%
1,6,7,4.166666666666666%
1,6,8,11.11111111111111%
1,6,9,11.11111111111111%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,25.0%
1,6,13,20.0%
1,6,14,14.285714285714285%
1,6,15,20.0%
1,6,16,14.285714285714285%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,1.282051282051282%
2,6,2,1.3157894736842104%
2,6,3,1.3513513513513513%
2,6,4,2.857142857142857%
2,6,5,1.4705882352941175%
2,6,6,1.3888888888888888%
2,6,7,2.73972602739726%
2,6,8,1.4285714285714286%
2,6,9,1.3157894736842104%
2,6,10,1.8181818181818181%
2,6,11,1.9607843137254901%
2,6,12,2.083333333333333%
2,6,13,2.083333333333333%
2,6,14,0.0%
2,6,15,0.0%
2,6,16,0.0%
2,6,17,4.3478260869565215%
2,6,18,2.083333333333333%
2,6,19,1.9607843137254901%
2,6,20,2.0%
3,6,1,1.2658227848101267%
3,6,2,1.2987012987012987%
3,6,3,1.2987012987012987%
3,6,4,1.3157894736842104%
3,6,5,0.0%
3,6,6,0.0%
3,6,7,1.282051282051282%
3,6,8,0.0%
3,6,9,0.0%
3,6,10,0.0%
3,6,11,0.0%
3,6,12,0.0%
3,6,13,0.0%
3,6,14,1.2658227848101267%
3,6,15,1.2658227848101267%
3,6,16,1.2658227848101267%
3,6,17,3.79746835443038%
3,6,18,2.5316455696202533%
3,6,19,2.5316455696202533%
3,6,20,2.5316455696202533%
4,6,1,1.2658227848101267%
4,6,2,2.5316455696202533%
4,6,3,1.282051282051282%
4,6,4,1.2987012987012987%
4,6,5,1.2658227848101267%
4,6,6,0.0%
4,6,7,1.2658227848101267%
4,6,8,1.2658227848101267%
4,6,9,1.2658227848101267%
4,6,10,1.2658227848101267%
4,6,11,0.0%
4,6,12,0.0%
4,6,13,1.2658227848101267%
4,6,14,1.2658227848101267%
4,6,15,1.2658227848101267%
4,6,16,2.5316455696202533%
4,6,17,2.5316455696202533%
4,6,18,1.2658227848101267%
4,6,19,1.2658227848101267%
4,6,20,1.2658227848101267%
5,6,1,1.2658227848101267%
5,6,2,2.5316455696202533%
5,6,3,1.2658227848101267%
5,6,4,1.2658227848101267%
5,6,5,2.5316455696202533%
5,6,6,1.2658227848101267%
5,6,7,1.2658227848101267%
5,6,8,2.5316455696202533%
5,6,9,1.2658227848101267%
5,6,10,2.5316455696202533%
5,6,11,2.5316455696202533%
5,6,12,2.5316455696202533%
5,6,13,1.2658227848101267%
5,6,14,1.2658227848101267%
5,6,15,1.2658227848101267%
5,6,16,1.2658227848101267%
5,6,17,1.2658227848101267%
5,6,18,1.2658227848101267%
5,6,19,1.2658227848101267%
5,6,20,1.2658227848101267%
6,6,1,2.5316455696202533%
6,6,2,2.5316455696202533%
6,6,3,1.2658227848101267%
6,6,4,1.2658227848101267%
6,6,5,1.2658227848101267%
6,6,6,1.2658227848101267%
6,6,7,1.2658227848101267%
6,6,8,1.2658227848101267%
6,6,9,1.2658227848101267%
6,6,10,1.2658227848101267%
6,6,11,1.2658227848101267%
6,6,12,1.2658227848101267%
6,6,13,1.2658227848101267%
6,6,14,1.2658227848101267%
6,6,15,1.2658227848101267%
6,6,16,1.2658227848101267%
6,6,17,1.2658227848101267%
6,6,18,1.2658227848101267%
6,6,19,1.2658227848101267%
6,6,20,1.2658227848101267%
7,6,1,2.5316455696202533%
7,6,2,1.2658227848101267%
7,6,3,1.2658227848101267%
7,6,4,1.2658227848101267%
7,6,5,1.2658227848101267%
7,6,6,1.2658227848101267%
7,6,7,1.2658227848101267%
7,6,8,1.2658227848101267%
7,6,9,1.2658227848101267%
7,6,10,1.2658227848101267%
7,6,11,1.2658227848101267%
7,6,12,1.2658227848101267%
7,6,13,1.2658227848101267%
7,6,14,1.2658227848101267%
7,6,15,1.2658227848101267%
7,6,16,1.2658227848101267%
7,6,17,1.2658227848101267%
7,6,18,1.2658227848101267%
7,6,19,1.2658227848101267%
7,6,20,1.2658227848101267%
8,6,1,1.2658227848101267%
8,6,2,1.2658227848101267%
8,6,3,1.2658227848101267%
8,6,4,1.2658227848101267%
8,6,5,1.2658227848101267%
8,6,6,1.2658227848101267%
8,6,7,1.2658227848101267%
8,6,8,1.2658227848101267%
8,6,9,1.2658227848101267%
8,6,10,1.2658227848101267%
8,6,11,1.2658227848101267%
8,6,12,1.2658227848101267%
8,6,13,1.2658227848101267%
8,6,14,1.2658227848101267%
8,6,15,1.2658227848101267%
8,6,16,1.2658227848101267%
8,6,17,1.2658227848101267%
8,6,18,1.2658227848101267%
8,6,19,1.2658227848101267%
8,6,20,1.2658227848101267%
9,6,1,1.2658227848101267%
9,6,2,1.2658227848101267%
9,6,3,1.2658227848101267%
9,6,4,1.2658227848101267%
9,6,5,1.2658227848101267%
9,6,6,1.2658227848101267%
9,6,7,1.2658227848101267%
9,6,8,1.2658227848101267%
9,6,9,1.2658227848101267%
9,6,10,1.2658227848101267%
9,6,11,1.2658227848101267%
9,6,12,1.2658227848101267%
9,6,13,1.2658227848101267%
9,6,14,1.2658227848101267%
9,6,15,1.2658227848101267%
9,6,16,1.2658227848101267%
9,6,17,1.2658227848101267%
9,6,18,1.2658227848101267%
9,6,19,1.2658227848101267%
9,6,20,1.2658227848101267%
10,6,1,1.2658227848101267%
10,6,2,1.2658227848101267%
10,6,3,1.2658227848101267%
10,6,4,1.2658227848101267%
10,6,5,1.2658227848101267%
10,6,6,1.2658227848101267%
10,6,7,1.2658227848101267%
10,6,8,1.2658227848101267%
10,6,9,1.2658227848101267%
10,6,10,1.2658227848101267%
10,6,11,1.2658227848101267%
10,6,12,1.2658227848101267%
10,6,13,1.2658227848101267%
10,6,14,1.2658227848101267%
10,6,15,1.2658227848101267%
10,6,16,1.2658227848101267%
10,6,17,1.2658227848101267%
10,6,18,1.2658227848101267%
10,6,19,1.2658227848101267%
10,6,20,1.2658227848101267%
11,6,1,1.2658227848101267%
11,6,2,1.2658227848101267%
11,6,3,1.2658227848101267%
11,6,4,1.2658227848101267%
11,6,5,1.2658227848101267%
11,6,6,1.2658227848101267%
11,6,7,1.2658227848101267%
11,6,8,1.2658227848101267%
11,6,9,1.2658227848101267%
11,6,10,1.2658227848101267%
11,6,11,1.2658227848101267%
11,6,12,1.2658227848101267%
