R,T,I,score
1,6,1,8.35%
1,6,2,0.0%
1,6,3,11.926190476190477%
1,6,4,25.45%
1,6,5,6.533333333333332%
1,6,6,6.083333333333332%
1,6,7,6.75%
1,6,8,6.75%
1,6,9,6.583333333333334%
1,6,10,0.0%
1,6,11,0.0%
1,6,12,10.0%
1,6,13,10.0%
1,6,14,9.0%
1,6,15,10.5%
1,6,16,8.333333333333332%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,9.730952380952377%
2,6,2,6.689682539682539%
2,6,3,10.691666666666668%
2,6,4,13.230555555555554%
2,6,5,11.419841269841267%
2,6,6,13.189285714285715%
2,6,7,11.032142857142858%
2,6,8,12.003571428571426%
2,6,9,13.431746031746032%
2,6,10,3.3833333333333333%
2,6,11,3.1166666666666663%
2,6,12,4.840873015873016%
2,6,13,4.88015873015873%
2,6,14,1.7527777777777773%
2,6,15,1.6956349206349202%
2,6,16,1.8940476190476188%
2,6,17,4.8464285714285715%
2,6,18,4.280952380952382%
2,6,19,4.604761904761905%
2,6,20,4.51547619047619%
3,6,1,9.313095238095235%
3,6,2,7.9281746031746%
3,6,3,13.780952380952375%
3,6,4,11.653174603174598%
3,6,5,10.863888888888887%
3,6,6,8.17142857142857%
3,6,7,9.085317460317459%
3,6,8,8.559920634920633%
3,6,9,9.07142857142857%
3,6,10,9.184523809523807%
3,6,11,9.520238095238094%
3,6,12,9.115476190476189%
3,6,13,10.958333333333332%
3,6,14,12.048809523809519%
3,6,15,9.958333333333332%
3,6,16,11.770238095238092%
3,6,17,12.940873015873013%
3,6,18,13.722222222222218%
3,6,19,13.471031746031743%
3,6,20,13.326587301587294%
4,6,1,10.221825396825395%
4,6,2,10.50753968253968%
4,6,3,12.566666666666665%
4,6,4,10.444047619047614%
4,6,5,11.73174603174603%
4,6,6,8.016666666666666%
4,6,7,10.488888888888887%
4,6,8,11.027777777777773%
4,6,9,9.344444444444443%
4,6,10,9.925%
4,6,11,9.033333333333333%
4,6,12,9.712301587301587%
4,6,13,11.375%
4,6,14,11.163888888888886%
4,6,15,13.258333333333333%
4,6,16,13.71111111111111%
4,6,17,13.858333333333333%
4,6,18,12.744444444444444%
4,6,19,12.82222222222222%
4,6,20,12.422222222222219%
5,6,1,10.119841269841265%
5,6,2,11.006746031746026%
5,6,3,12.711111111111107%
5,6,4,9.880555555555553%
5,6,5,11.897222222222222%
5,6,6,11.244444444444444%
5,6,7,9.766666666666666%
5,6,8,8.566666666666665%
5,6,9,9.11111111111111%
5,6,10,11.0%
5,6,11,11.4%
5,6,12,11.2%
5,6,13,11.3%
5,6,14,11.6%
5,6,15,11.2%
5,6,16,11.7%
5,6,17,10.71111111111111%
5,6,18,10.222222222222221%
5,6,19,10.3%
5,6,20,10.7%
6,6,1,12.378968253968251%
6,6,2,12.637301587301584%
6,6,3,13.124999999999995%
6,6,4,10.680555555555554%
6,6,5,10.244444444444444%
6,6,6,11.6%
6,6,7,11.5%
6,6,8,11.7%
6,6,9,11.1%
6,6,10,11.0%
6,6,11,11.2%
6,6,12,10.7%
6,6,13,10.3%
6,6,14,10.3%
6,6,15,10.4%
6,6,16,10.4%
6,6,17,10.0%
6,6,18,10.0%
6,6,19,10.0%
6,6,20,10.0%
7,6,1,12.272222222222219%
7,6,2,12.224999999999998%
7,6,3,12.047222222222219%
7,6,4,10.522222222222219%
7,6,5,10.1%
7,6,6,10.5%
7,6,7,10.4%
7,6,8,10.7%
7,6,9,10.3%
7,6,10,10.0%
7,6,11,10.4%
7,6,12,10.1%
7,6,13,10.1%
7,6,14,10.2%
7,6,15,10.1%
7,6,16,10.0%
7,6,17,10.0%
7,6,18,10.0%
7,6,19,10.0%
7,6,20,10.0%
8,6,1,11.172222222222219%
8,6,2,12.94722222222222%
8,6,3,10.93611111111111%
8,6,4,9.866666666666667%
8,6,5,9.9%
8,6,6,10.5%
8,6,7,10.3%
8,6,8,10.0%
8,6,9,10.0%
8,6,10,10.0%
8,6,11,10.0%
8,6,12,10.0%
8,6,13,10.0%
8,6,14,10.0%
8,6,15,10.0%
8,6,16,10.0%
8,6,17,10.0%
8,6,18,10.0%
8,6,19,10.0%
8,6,20,10.0%
9,6,1,12.12222222222222%
9,6,2,12.213888888888889%
9,6,3,10.866666666666667%
9,6,4,10.222222222222221%
9,6,5,10.2%
9,6,6,10.0%
9,6,7,10.0%
9,6,8,10.0%
9,6,9,10.0%
9,6,10,10.0%
9,6,11,10.0%
9,6,12,10.0%
9,6,13,10.0%
9,6,14,10.0%
9,6,15,10.0%
9,6,16,10.0%
9,6,17,10.0%
9,6,18,10.0%
9,6,19,10.0%
9,6,20,10.0%
10,6,1,12.11111111111111%
10,6,2,11.377777777777776%
10,6,3,10.433333333333332%
10,6,4,10.2%
10,6,5,10.5%
10,6,6,10.0%
10,6,7,10.0%
10,6,8,10.0%
10,6,9,10.0%
10,6,10,10.0%
10,6,11,10.0%
10,6,12,10.0%
10,6,13,10.0%
10,6,14,10.0%
10,6,15,10.0%
10,6,16,10.0%
10,6,17,10.0%
10,6,18,10.0%
10,6,19,10.0%
10,6,20,10.0%
11,6,1,11.81111111111111%
11,6,2,10.9%
11,6,3,10.1%
11,6,4,10.0%
11,6,5,10.2%
11,6,6,10.0%
11,6,7,10.0%
11,6,8,10.0%
11,6,9,10.0%
11,6,10,10.0%
11,6,11,10.0%
11,6,12,10.0%
11,6,13,10.0%
11,6,14,10.0%
11,6,15,10.0%
11,6,16,10.0%
11,6,17,10.0%
11,6,18,10.0%
11,6,19,10.0%
11,6,20,10.0%
12,6,1,11.1%
12,6,2,11.7%
12,6,3,9.9%
12,6,4,10.0%
12,6,5,10.2%
12,6,6,10.0%
12,6,7,10.0%
12,6,8,10.0%
12,6,9,10.0%
12,6,10,10.0%
12,6,11,10.0%
12,6,12,10.0%
12,6,13,10.0%
12,6,14,10.0%
12,6,15,10.0%
12,6,16,10.0%
12,6,17,10.0%
12,6,18,10.0%
12,6,19,10.0%
12,6,20,10.0%
13,6,1,10.6%
13,6,2,11.5%
