R,T,I,score
1,6,1,3.4724740547284347%
1,6,2,1.974455526825102%
1,6,3,6.259980376763004%
1,6,4,8.762062647329124%
1,6,5,9.244435863946432%
1,6,6,9.119278856267346%
1,6,7,10.64502750001976%
1,6,8,18.81345321345321%
1,6,9,24.021162171162164%
1,6,10,0.9770202020202021%
1,6,11,0.0%
1,6,12,36.08536463536464%
1,6,13,27.613579476079472%
1,6,14,25.748791894380133%
1,6,15,31.124683649683643%
1,6,16,29.335862748362743%
1,6,17,0.0%
1,6,18,10.578618603618601%
1,6,19,8.40989565989566%
1,6,20,0.0%
2,6,1,3.6536988480275516%
2,6,2,3.964471249068772%
2,6,3,5.085450397085496%
2,6,4,6.169439116765898%
2,6,5,4.33339175536806%
2,6,6,5.260884408530079%
2,6,7,4.54342079808476%
2,6,8,5.742739843875874%
2,6,9,7.117190619625839%
2,6,10,4.939500766960125%
2,6,11,4.85545016813949%
2,6,12,7.512937315612458%
2,6,13,7.334032819623519%
2,6,14,4.293019270372302%
2,6,15,3.5043893175267495%
2,6,16,3.5985946957366672%
2,6,17,7.392387350182991%
2,6,18,7.5611074758883845%
2,6,19,8.281786022681846%
2,6,20,8.518598458512926%
3,6,1,3.328139964406055%
3,6,2,5.190115320776634%
3,6,3,6.753642101490787%
3,6,4,4.4580020397404185%
3,6,5,4.988551379699734%
3,6,6,3.488632638154206%
3,6,7,4.483426305096701%
3,6,8,3.790337355503464%
3,6,9,3.603351424834419%
3,6,10,3.8661162658484365%
3,6,11,4.165178871894542%
3,6,12,5.550069840794566%
3,6,13,5.068151507926541%
3,6,14,6.454097223011961%
3,6,15,5.543060960164216%
3,6,16,6.780471864452176%
3,6,17,7.87948505923498%
3,6,18,7.459845608873862%
3,6,19,7.920889112934163%
3,6,20,7.493019156505467%
4,6,1,5.343595664599153%
4,6,2,6.28502867088792%
4,6,3,7.418452146013775%
4,6,4,4.957108730379886%
4,6,5,5.373937714877092%
4,6,6,4.838298831969722%
4,6,7,4.678758505540656%
4,6,8,4.507786018112473%
4,6,9,4.980597461610124%
4,6,10,5.135887319431628%
4,6,11,5.893075279151234%
4,6,12,5.841144087979536%
4,6,13,6.270126497974604%
4,6,14,6.3320603447185775%
4,6,15,6.49521996990352%
4,6,16,6.671208538297152%
4,6,17,6.02564102564103%
4,6,18,5.741056411942493%
4,6,19,5.758458840737327%
4,6,20,5.824209545728537%
5,6,1,5.413673145252096%
5,6,2,6.020984763476437%
5,6,3,6.747580423130063%
5,6,4,5.659204830257469%
5,6,5,4.944882122097318%
5,6,6,5.417755240540057%
5,6,7,5.481025303810119%
5,6,8,4.972898409607273%
5,6,9,4.879259980525808%
5,6,10,5.278481012658233%
5,6,11,5.632911392405067%
5,6,12,5.620253164556968%
5,6,13,5.507789678675764%
5,6,14,5.570431678026622%
5,6,15,5.430379746835448%
5,6,16,5.45569620253165%
5,6,17,5.164556962025321%
5,6,18,5.000811424862062%
5,6,19,4.987341772151902%
5,6,20,4.974683544303801%
6,6,1,5.712336630724375%
6,6,2,6.376041679839151%
6,6,3,6.075411929842314%
6,6,4,5.639801626310625%
6,6,5,5.5353781239857245%
6,6,6,5.418370658876992%
6,6,7,5.2667964946446%
6,6,8,5.178188899707892%
6,6,9,5.000000000000005%
6,6,10,5.075949367088612%
6,6,11,5.06329113924051%
6,6,12,5.088607594936713%
6,6,13,5.050632911392409%
6,6,14,5.06329113924051%
6,6,15,5.037974683544308%
6,6,16,5.037974683544308%
6,6,17,4.974683544303802%
6,6,18,4.936708860759498%
6,6,19,4.936708860759498%
6,6,20,4.936708860759498%
7,6,1,5.57838203324546%
7,6,2,6.000986355416741%
7,6,3,5.58070621361761%
7,6,4,5.33483183483184%
7,6,5,5.127069133398253%
7,6,6,5.101265822784815%
7,6,7,5.075949367088613%
7,6,8,5.012658227848106%
7,6,9,4.987341772151902%
7,6,10,4.987341772151902%
7,6,11,4.987341772151903%
7,6,12,4.974683544303802%
7,6,13,4.974683544303802%
7,6,14,5.000000000000004%
7,6,15,4.987341772151903%
7,6,16,4.987341772151903%
7,6,17,4.936708860759497%
7,6,18,4.911392405063295%
7,6,19,4.936708860759498%
7,6,20,4.924050632911396%
8,6,1,5.590144033182014%
8,6,2,5.590892230132742%
8,6,3,5.31402985200454%
8,6,4,4.989776046738077%
8,6,5,5.012658227848107%
8,6,6,4.949367088607599%
8,6,7,4.924050632911396%
8,6,8,5.025316455696207%
8,6,9,4.9620253164556996%
8,6,10,4.9620253164556996%
8,6,11,4.9620253164556996%
8,6,12,4.9620253164556996%
8,6,13,4.949367088607598%
8,6,14,4.9620253164556996%
8,6,15,4.949367088607598%
8,6,16,4.949367088607598%
8,6,17,4.911392405063295%
8,6,18,4.911392405063295%
8,6,19,4.911392405063295%
8,6,20,4.911392405063295%
9,6,1,5.513631937682577%
9,6,2,5.523044466082446%
9,6,3,5.130314832846483%
9,6,4,4.912203829925354%
9,6,5,4.936708860759498%
9,6,6,4.936708860759498%
9,6,7,4.924050632911396%
9,6,8,4.9620253164556996%
9,6,9,4.924050632911396%
9,6,10,4.924050632911396%
9,6,11,4.924050632911396%
9,6,12,4.911392405063295%
9,6,13,4.911392405063295%
9,6,14,4.936708860759497%
9,6,15,4.911392405063295%
9,6,16,4.911392405063295%
9,6,17,4.911392405063295%
9,6,18,4.911392405063295%
9,6,19,4.911392405063295%
9,6,20,4.911392405063295%
10,6,1,5.0798442064264915%
10,6,2,5.24050632911393%
10,6,3,4.987990912041549%
10,6,4,4.924050632911398%
10,6,5,4.911392405063295%
10,6,6,4.911392405063295%
10,6,7,4.911392405063295%
10,6,8,4.924050632911396%
10,6,9,4.911392405063295%
10,6,10,4.911392405063295%
10,6,11,4.911392405063295%
10,6,12,4.911392405063295%
10,6,13,4.911392405063295%
10,6,14,4.911392405063295%
10,6,15,4.911392405063295%
10,6,16,4.911392405063295%
10,6,17,4.911392405063295%
10,6,18,4.911392405063295%
10,6,19,4.911392405063295%
10,6,20,4.911392405063295%
11,6,1,5.038623823433957%
11,6,2,5.075949367088612%
11,6,3,4.949367088607599%
11,6,4,4.898734177215194%
11,6,5,4.898734177215194%
11,6,6,4.911392405063295%
11,6,7,4.911392405063295%
11,6,8,4.924050632911396%
11,6,9,4.911392405063295%
11,6,10,4.911392405063295%
11,6,11,4.911392405063295%
11,6,12,4.911392405063295%
11,6,13,4.911392405063295%
11,6,14,4.911392405063295%
11,6,15,4.911392405063295%
11,6,16,4.911392405063295%
11,6,17,4.911392405063295%
11,6,18,4.911392405063295%
11,6,19,4.911392405063295%
11,6,20,4.911392405063295%
12,6,1,5.101265822784815%
12,6,2,5.15189873417722%
12,6,3,4.974683544303802%
12,6,4,4.936708860759498%
12,6,5,4.898734177215194%
12,6,6,4.911392405063295%
12,6,7,4.911392405063295%
12,6,8,4.911392405063295%
12,6,9,4.911392405063295%
12,6,10,4.911392405063295%
12,6,11,4.911392405063295%
12,6,12,4.911392405063295%
12,6,13,4.911392405063295%
12,6,14,4.911392405063295%
12,6,15,4.911392405063295%
12,6,16,4.911392405063295%
12,6,17,4.911392405063295%
12,6,18,4.911392405063295%
12,6,19,4.911392405063295%
12,6,20,4.911392405063295%
13,6,1,4.835443037974688%
13,6,2,5.037974683544309%
13,6,3,4.974683544303802%
13,6,4,4.86075949367089%
13,6,5,4.886075949367092%
13,6,6,4.911392405063295%
13,6,7,4.911392405063295%
13,6,8,4.911392405063295%
13,6,9,4.911392405063295%
13,6,10,4.911392405063295%
13,6,11,4.911392405063295%
13,6,12,4.911392405063295%
13,6,13,4.911392405063295%
13,6,14,4.911392405063295%
13,6,15,4.911392405063295%
13,6,16,4.911392405063295%
13,6,17,4.911392405063295%
13,6,18,4.911392405063295%
13,6,19,4.911392405063295%
13,6,20,4.911392405063295%
14,6,1,4.797468354430384%
14,6,2,4.924050632911396%
14,6,3,4.936708860759498%
14,6,4,4.911392405063295%
14,6,5,4.911392405063295%
14,6,6,4.911392405063295%
14,6,7,4.911392405063295%
14,6,8,4.911392405063295%
14,6,9,4.911392405063295%
14,6,10,4.911392405063295%
14,6,11,4.911392405063295%
14,6,12,4.911392405063295%
14,6,13,4.911392405063295%
14,6,14,4.911392405063295%
14,6,15,4.911392405063295%
14,6,16,4.911392405063295%
14,6,17,4.911392405063295%
14,6,18,4.911392405063295%
14,6,19,4.911392405063295%
14,6,20,4.911392405063295%
15,6,1,4.7848101265822836%
15,6,2,4.898734177215194%
15,6,3,4.911392405063295%
15,6,4,4.898734177215194%
15,6,5,4.911392405063295%
15,6,6,4.911392405063295%
15,6,7,4.911392405063295%
15,6,8,4.911392405063295%
15,6,9,4.911392405063295%
15,6,10,4.911392405063295%
15,6,11,4.911392405063295%
15,6,12,4.911392405063295%
15,6,13,4.911392405063295%
15,6,14,4.911392405063295%
15,6,15,4.911392405063295%
15,6,16,4.911392405063295%
15,6,17,4.911392405063295%
15,6,18,4.911392405063295%
15,6,19,4.911392405063295%
15,6,20,4.911392405063295%
16,6,1,4.772151898734182%
16,6,2,4.924050632911396%
