b50cm,6c:91:e5:47:b0:2d,62:58:87:95:03:e2,7e:53:29:27:65:9f,79:d3:d7:d8:e8:b9,4b:7f:81:ae:ad:a0
f50cm,4b:d5:5f:2c:f6:1c,5a:74:ca:c8:81:1d,77:73:c9:f6:8d:28,58:86:95:bb:1d:46,65:83:af:a9:e4:d0
r50cm,42:59:ab:d8:a0:20,55:45:ba:34:13:4f,4d:74:f8:f3:28:04,77:bd:27:9f:af:d5,7e:43:ba:fe:20:2e
l50cm,7b:f6:1a:12:33:1a,47:ae:51:db:88:82,79:8f:69:cc:cb:d0,4a:ca:c0:2d:72:b8,41:ac:48:1b:bb:d9
b150cm,68:fb:76:8a:04:03,60:e8:c1:6e:60:f2,55:3c:dd:de:4c:62,6f:93:e7:1e:62:7e,77:11:6e:5e:3f:d6
f150cm,61:47:23:8f:2d:78,69:28:41:14:e8:08,55:f6:6c:66:34:3e,71:74:46:27:98:1d,5c:7b:e8:2c:cc:74
r150cm,49:63:87:ef:1e:25,5b:e2:c1:f9:76:4a,64:4b:cb:90:f0:e9,57:96:f4:68:d2:42,79:84:ed:7a:6b:7d
l150cm,75:75:86:8a:5a:6a,51:8a:45:6d:8d:9d,4b:eb:d8:bc:80:68,4f:3f:ac:0f:d0:09,60:cd:ef:e9:d2:2b
b1m,7a:5d:f7:94:8f:b0,43:51:25:64:08:44,60:87:9f:1c:65:6e
f1m,5a:27:e9:08:e0:a9,5e:25:2e:ab:5c:64,4e:0d:aa:60:6f:53,4b:81:37:b6:42:c9,7f:6c:ef:ab:67:23
l1m,5c:98:b4:6b:27:13,7d:e8:25:0d:c2:2d,54:83:ad:6c:16:56,57:35:ee:28:39:ce,5d:0b:06:f8:41:50
r1m,7c:b8:11:84:57:b9,74:cc:35:7a:65:25,61:82:1b:d7:a6:6e,5e:1f:a9:a3:bf:d3,7a:ce:44:c2:03:96
b2m,49:56:97:35:a0:aa,45:af:15:6d:0b:a8,6a:60:e3:25:92:fe
f2m,44:38:70:d4:cd:c9,58:17:5f:27:68:4b,58:70:3a:1d:89:e3,49:4d:fc:a3:70:3e
l2m,78:eb:9a:08:d6:df,7a:12:64:5a:4f:e9,48:42:b9:3b:94:81,79:ee:a7:f2:4b:ed,53:52:31:66:bb:c4
r2m,79:17:38:e0:d7:4d,66:4a:2d:29:73:f7,48:c9:d8:71:d4:b0
f50cmb,4c:9d:a3:49:a4:77,74:08:95:15:6e:73,47:e3:cd:c2:b7:92,68:05:7a:6c:d9:dc,4d:37:32:54:25:75,7c:e9:8e:a3:5b:17
f150cmb,61:59:db:a7:1f:6b,42:f1:fa:76:9b:44,6f:d4:f7:96:65:78,6b:0e:ab:9b:7d:a3,4f:43:3e:f7:95:b4,5d:e8:7c:d0:eb:a1
f1mb,66:88:58:26:bf:fd,45:41:10:8f:32:cc,41:d3:e5:5c:ec:08,4e:70:e5:a3:4d:cb,59:7e:47:f1:d9:e0
f2mb,52:b6:a1:5b:d2:9b,4a:5c:2f:c7:73:87,62:af:87:5f:e1:d3,78:db:d7:e9:e4:23,54:e5:f7:69:8f:84
