,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,90.05%%,97.25714285714288%%,96.78452380952382%%,96.40079365079366%%,95.62449494949495%%,95.49304029304028%%,95.50369352869352%%,95.71650016650015%%,95.80286935286932%%,95.45578865578862%%,95.38735431235429%%,95.85082140082137%%,95.70594405594403%%,95.7546814296814%%,95.84421134421133%%,95.88566433566432%%,95.88566433566432%%,95.78566433566431%%,95.78566433566431%%,95.78566433566431%%
2,78.41666666666667%%,96.43333333333332%%,95.93809523809524%%,95.83398268398267%%,95.93185425685425%%,96.64956154956153%%,96.68255217005215%%,96.82073914647447%%,96.87392978968057%%,96.81894274456194%%,96.8805617241376%%,97.07519127759068%%,97.00506928142379%%,97.10419393128372%%,97.21676802299869%%,97.23139834881322%%,97.23466632266944%%,97.24667612659101%%,97.24667612659101%%,97.24667612659101%%
3,71.33333333333333%%,94.53571428571428%%,95.23650793650793%%,96.54401154401154%%,96.51168276168274%%,96.83160548601725%%,97.1115638876088%%,97.0418395158333%%,97.0577491780665%%,96.97661234534299%%,97.02635229407674%%,97.3258036468176%%,97.33511798658857%%,97.28408476628292%%,97.33998431908651%%,97.34236527146746%%,97.42852798216578%%,97.37916437707462%%,97.37916437707462%%,97.38442753496936%%
4,49.0%%,94.58333333333331%%,96.60833333333333%%,96.68515096015095%%,96.2127761127761%%,96.77127651760006%%,97.31101370249976%%,97.25920584833123%%,97.08592664215729%%,97.13054107485223%%,97.09633314741676%%,97.39801358342382%%,97.37191586363414%%,97.44480927139598%%,97.38420002769851%%,97.45954402494652%%,97.47299431734419%%,97.42036273839682%%,97.42036273839682%%,97.42562589629156%%
5,41.66666666666666%%,85.16666666666669%%,96.28928571428571%%,96.16648629148631%%,96.77256354756354%%,97.0897149848775%%,97.19792703856169%%,97.22069714341386%%,97.27881017331481%%,97.26497450348073%%,97.31715904064977%%,97.44084509401847%%,97.40936934582447%%,97.35292676879368%%,97.41472587440083%%,97.42763437113284%%,97.44079226586967%%,97.44079226586967%%,97.4460554237644%%,97.4460554237644%%
6,19.0%%,72.93333333333334%%,94.43611111111109%%,96.09632034632034%%,96.36583139083137%%,97.13067645289006%%,97.25954540385654%%,97.30769939554773%%,97.32990543598133%%,97.38415663713654%%,97.39083303177733%%,97.39370457114266%%,97.35059741599993%%,97.3564453692163%%,97.41735745334819%%,97.43026595008021%%,97.44342384481705%%,97.44342384481705%%,97.44868700271178%%,97.44868700271178%%
7,17.5%%,71.76666666666667%%,94.82539682539681%%,96.23049728049727%%,96.9893204018204%%,97.12536467230738%%,97.35532560404855%%,97.1989988898271%%,97.2407984774084%%,97.46149805217145%%,97.45271975616404%%,97.29542025741718%%,97.38121624247789%%,97.47629708183118%%,97.48845308458313%%,97.43582150563576%%,97.45161097931998%%,97.45161097931998%%,97.45161097931998%%,97.45161097931998%%
8,18.0%%,70.3%%,96.13492063492062%%,96.39370074370073%%,96.92241010623361%%,97.08791988455297%%,97.15574952653125%%,97.38534426529785%%,97.27820426907115%%,97.37528128476274%%,97.44895030580017%%,97.50438339610167%%,97.46778208891213%%,97.49110080236244%%,97.50305777813519%%,97.51358409392465%%,97.4609525149773%%,97.46621567287204%%,97.46621567287204%%,97.46621567287204%%
9,10.5%%,56.75%%,93.6%%,96.82028804528804%%,96.79496075819601%%,96.7977649199785%%,97.18762097036092%%,97.37528626773987%%,97.39370987629505%%,97.40181447379591%%,97.43081344180416%%,97.49102586010481%%,97.41193413569576%%,97.49674972859961%%,97.50305777813519%%,97.50305777813519%%,97.46621567287204%%,97.46621567287204%%,97.46621567287204%%,97.46621567287204%%
10,8.0%%,47.58333333333333%%,91.96428571428572%%,96.25555555555555%%,97.09941267882445%%,96.88072911780343%%,97.22645669603875%%,97.32946683949007%%,97.40245276739086%%,97.45071167222872%%,97.38107451114418%%,97.41583850446082%%,97.38647281081494%%,97.44938130754697%%,97.50305777813519%%,97.50305777813519%%,97.4609525149773%%,97.46621567287204%%,97.46621567287204%%,97.46621567287204%%
