,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.4492753623188406%%,1.282051282051282%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
2,0.0%%,1.3333333333333335%%,0.0%%,1.2658227848101267%%,1.2658227848101267%%,2.5316455696202533%%,3.79746835443038%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
3,4.0%%,2.666666666666667%%,1.3157894736842104%%,2.5316455696202533%%,3.79746835443038%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
4,0.0%%,1.694915254237288%%,1.4084507042253522%%,1.3333333333333335%%,2.5974025974025974%%,3.8461538461538463%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
5,2.941176470588235%%,0.0%%,1.4705882352941175%%,1.36986301369863%%,2.631578947368421%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
6,0.0%%,3.571428571428571%%,1.4285714285714286%%,2.666666666666667%%,3.8461538461538463%%,2.564102564102564%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
7,4.3478260869565215%%,1.7241379310344827%%,1.4084507042253522%%,2.666666666666667%%,2.666666666666667%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
8,0.0%%,3.8461538461538463%%,1.4084507042253522%%,1.3333333333333335%%,1.282051282051282%%,2.5316455696202533%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
9,5.88235294117647%%,0.0%%,1.3513513513513513%%,1.3157894736842104%%,2.631578947368421%%,2.564102564102564%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
10,0.0%%,2.631578947368421%%,1.4084507042253522%%,1.3513513513513513%%,1.2987012987012987%%,3.8461538461538463%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
