,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.2115745365745365%%,6.146928071928072%%,5.400532800532801%%,5.6050283050283065%%,7.670579420579417%%,7.356776556776555%%,8.225091575091573%%,8.36428571428571%%,8.657142857142857%%,8.133333333333331%%,7.799999999999998%%,7.999999999999997%%,7.266666666666664%%,6.866666666666664%%,6.799999999999996%%,6.599999999999998%%,6.599999999999998%%,6.599999999999998%%,6.666666666666664%%,6.666666666666664%%
2,1.0095238095238093%%,5.261186036186035%%,6.8377539127539135%%,6.316475191475193%%,6.726323676323679%%,7.395304695304698%%,9.391641691641686%%,8.193589743589738%%,7.968131868131865%%,7.819780219780216%%,7.676923076923073%%,8.209523809523805%%,7.666666666666662%%,7.599999999999994%%,7.266666666666663%%,6.933333333333328%%,6.799999999999995%%,6.799999999999995%%,6.733333333333329%%,6.666666666666664%%
3,12.243650793650795%%,9.215551115551115%%,9.344155844155845%%,7.799150849150849%%,8.924908424908427%%,9.466849816849814%%,9.279853479853477%%,8.230036630036626%%,7.500732600732593%%,7.404761904761898%%,7.204761904761898%%,6.999999999999995%%,6.933333333333329%%,6.6666666666666625%%,6.866666666666663%%,6.733333333333329%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
4,6.3583333333333325%%,7.633630258630258%%,7.838861138861137%%,7.13767898767899%%,8.474725274725277%%,9.54487179487179%%,8.675274725274718%%,7.672161172161165%%,7.443589743589736%%,7.291208791208784%%,7.276190476190469%%,6.9333333333333265%%,6.799999999999995%%,6.9999999999999964%%,6.9999999999999964%%,6.799999999999996%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
5,5.884523809523809%%,5.270693195693195%%,8.028893328893329%%,7.33884448884449%%,8.036879786879787%%,8.950915750915748%%,8.878021978021975%%,8.379120879120874%%,7.334798534798528%%,7.382417582417577%%,7.086446886446882%%,6.876190476190471%%,6.666666666666664%%,6.866666666666666%%,6.933333333333329%%,6.733333333333329%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
6,4.25%%,3.9645021645021643%%,5.812728937728937%%,7.732267732267732%%,9.553296703296706%%,8.928205128205123%%,8.906227106227101%%,7.825274725274721%%,7.4062271062270995%%,7.377655677655672%%,7.153113553113546%%,6.8047619047619%%,6.599999999999998%%,6.9999999999999964%%,6.9999999999999964%%,6.799999999999996%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
7,3.95%%,5.5635753135753125%%,5.5645687645687625%%,7.5920246420246436%%,9.626756576756575%%,8.696153846153848%%,8.73369963369963%%,8.368131868131867%%,7.591941391941386%%,7.301465201465196%%,6.948351648351643%%,6.671428571428567%%,6.799999999999996%%,7.133333333333331%%,6.93333333333333%%,6.799999999999996%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
8,2.3166666666666664%%,5.117929292929292%%,6.3664862914862885%%,7.374025974025972%%,8.69060384060384%%,8.983150183150183%%,9.01080586080586%%,8.035531135531132%%,7.396703296703291%%,7.357875457875452%%,7.086446886446883%%,6.8816849816849786%%,6.8714285714285674%%,7.13333333333333%%,6.93333333333333%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
9,3.6261904761904757%%,5.416269841269841%%,6.996520146520148%%,7.072713397713398%%,8.753663003663004%%,8.10611055611055%%,8.725091575091575%%,8.531501831501826%%,7.6062271062271%%,7.263369963369959%%,6.95311355311355%%,6.804761904761899%%,7.066666666666662%%,7.066666666666664%%,6.866666666666664%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
10,2.7499999999999996%%,3.9599567099567095%%,6.772369297369296%%,6.474733599733596%%,8.321550671550671%%,8.249633699633698%%,9.046520146520146%%,8.708424908424902%%,7.539560439560433%%,7.510989010989005%%,6.948351648351644%%,6.738095238095234%%,6.733333333333331%%,6.866666666666663%%,6.799999999999996%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
