,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.1103350674187515%%,4.259541684223853%%,3.647036022598174%%,4.131940893362002%%,4.849341560600725%%,5.0914790273018165%%,5.418086798832971%%,5.55068770891556%%,5.920339154516373%%,5.208557265519298%%,5.0259655955858555%%,5.13924050632912%%,4.860759493670891%%,4.784810126582283%%,4.772151898734182%%,4.772151898734182%%,4.734177215189878%%,4.7468354430379796%%,4.75949367088608%%,4.75949367088608%%
2,2.949649898605386%%,3.9237544223219643%%,4.667880176348354%%,4.640851203369001%%,5.383767717718422%%,5.83922717300466%%,6.172850356394666%%,5.909299561198299%%,6.004706264199943%%,5.557611165206107%%,5.316455696202537%%,5.265822784810133%%,5.12658227848102%%,4.987341772151903%%,4.974683544303802%%,4.9240506329113956%%,4.9240506329113956%%,4.898734177215193%%,4.8860759493670916%%,4.8860759493670916%%
3,4.635592564743513%%,5.330206450093495%%,6.316868503099715%%,5.738153255102902%%,6.238515284764455%%,6.57096145027525%%,6.330250917192957%%,5.717982439501433%%,5.641196356386234%%,5.368711457319058%%,5.202531645569626%%,5.164556962025322%%,5.063291139240512%%,4.9620253164557%%,4.987341772151903%%,4.949367088607599%%,4.949367088607599%%,4.911392405063295%%,4.898734177215194%%,4.924050632911396%%
4,2.982584635894284%%,4.276758659349461%%,4.858052419353325%%,5.158572785521638%%,6.094906252434571%%,6.426830442486678%%,6.201781341021851%%,5.603725388535521%%,5.498377150275892%%,5.407010710808184%%,5.189873417721525%%,5.088607594936715%%,5.037974683544308%%,4.974683544303802%%,4.949367088607599%%,4.936708860759498%%,4.936708860759498%%,4.911392405063295%%,4.898734177215194%%,4.924050632911396%%
5,3.8614233728012177%%,3.310941873037919%%,4.955415044337617%%,5.082448763213615%%,6.339439894528617%%,6.586007359285179%%,6.362071683590671%%,5.786795482998018%%,5.519828272992835%%,5.395659193127552%%,5.215189873417727%%,5.088607594936715%%,5.012658227848106%%,4.974683544303801%%,4.924050632911396%%,4.898734177215194%%,4.898734177215194%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
6,6.809635990944039%%,3.0449850176851587%%,4.141204679309995%%,6.006728710695505%%,6.59203916124969%%,6.562676265221239%%,6.119455383612614%%,5.79851372256436%%,5.429252182416744%%,5.27929243752029%%,5.164556962025322%%,5.063291139240512%%,5.025316455696208%%,4.974683544303802%%,4.949367088607599%%,4.898734177215194%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
7,6.909476471241176%%,3.8271833558246686%%,4.104683674937365%%,5.030543585544996%%,5.788268115554286%%,6.534198941367504%%,6.246394511551081%%,5.683047742841219%%,5.457997698504034%%,5.345666991236617%%,5.202531645569625%%,5.025316455696208%%,5.012658227848106%%,5.037974683544308%%,5.012658227848106%%,4.949367088607599%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
8,8.729401154401154%%,4.070981467131713%%,4.141558105293486%%,5.119127777046023%%,5.609063750914336%%,6.574961786362048%%,6.322683035374578%%,5.737313985148765%%,5.4487601006588395%%,5.358649789029541%%,5.278481012658233%%,5.15189873417722%%,5.063291139240511%%,5.063291139240512%%,4.987341772151904%%,4.9620253164557%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%
9,4.011988011988011%%,4.428036161898457%%,4.713154159987603%%,5.198832003491491%%,5.964914729956611%%,6.492427479969122%%,6.251555462081783%%,5.921397168232615%%,5.500520576469949%%,5.3625783499201285%%,5.254949691658556%%,5.0886075949367156%%,5.075949367088614%%,5.025316455696207%%,4.974683544303802%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
10,4.91031746031746%%,4.912179984246774%%,4.830150828680456%%,5.620724581023421%%,6.069889947510637%%,6.275951374618842%%,6.232151301951441%%,5.933801208784556%%,5.46450174298276%%,5.298142785484561%%,5.129016553067189%%,5.05063291139241%%,5.0000000000000036%%,4.987341772151904%%,4.9620253164556996%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%
