,1,2,3
1,7.28615624451988%%,8.883485908094901%%,7.452114266415032%%
2,6.319787957824868%%,7.5690297520499925%%,8.26027048660834%%
3,9.174385774881591%%,8.733683437820755%%,9.551363493412959%%
4,6.9524838146876755%%,7.841510012803411%%,7.873479520622653%%
5,6.895379620379618%%,7.202253394117543%%,7.945076344540271%%
6,11.475865800865797%%,6.989856491113772%%,7.585937990493542%%
7,8.91075036075036%%,7.731637756506202%%,7.5484372692329575%%
8,16.648015873015872%%,8.897027070395131%%,7.424160651150362%%
9,6.099999999999999%%,8.811156422734022%%,8.12081650745458%%
10,8.991666666666667%%,9.28945544591661%%,7.463715848610441%%
11,8.55%%,11.109510976676813%%,8.501027045997867%%
12,0.5%%,9.92632089272956%%,8.990075238796406%%
13,0.0%%,8.330593426181661%%,null%
14,0.0%%,8.621048026620779%%,null%
15,0.6666666666666665%%,8.48854827662877%%,null%
16,0.9%%,6.9972270978075946%%,null%
17,2.333333333333333%%,6.350126099390805%%,null%
18,1.5%%,6.015519099923124%%,null%
19,1.0%%,7.847356238532709%%,null%
20,2.0%%,7.3354122185004575%%,null%
