,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,96.79999999999998%%,95.06269841269841%%,96.32492784992785%%,95.83722943722941%%,94.51170218670218%%,93.73723498723498%%,94.00563048063046%%,93.84370629370628%%,94.12982866806396%%,93.85621755695286%%,93.5798792753514%%,93.30021922951488%%,93.10447608377173%%,93.11638084567649%%,93.29117483823362%%,93.17025409231287%%,93.36612668377373%%,93.19253622194796%%,93.02333847782764%%,93.14025356738205%%
2,69.41666666666667%%,81.58333333333334%%,95.0845238095238%%,95.03531746031747%%,94.13691863691864%%,94.37463508713505%%,94.26263458763457%%,94.41927304721419%%,94.85305048408762%%,95.03560094875884%%,95.23471747139806%%,94.79198348409045%%,94.48938200490227%%,94.55771293351958%%,94.47854811847338%%,94.57458122746519%%,94.6795781582277%%,94.70052076507423%%,94.84777373002406%%,94.66029202767291%%
3,49.0%%,80.16666666666667%%,91.18333333333334%%,92.68214285714286%%,93.84563492063494%%,93.98126595626594%%,93.58789543789544%%,92.71771700521698%%,93.8900338438651%%,94.23324058122819%%,94.6144323040221%%,95.10478753523141%%,95.05697843113747%%,95.07146284682581%%,95.10038284672127%%,95.02290455408217%%,95.16437656162512%%,95.29682738458649%%,95.328896262224%%,95.52636746859247%%
4,12.0%%,67.58333333333333%%,91.01666666666667%%,90.01190476190477%%,93.49274891774893%%,95.29632924265273%%,95.88577127636727%%,95.67017820930356%%,95.89032215802473%%,95.76922050291586%%,95.66420672688912%%,95.6888578376575%%,95.83761017431578%%,96.09095743913598%%,95.90374286294478%%,95.80073058314392%%,95.67610213605808%%,95.67161084634402%%,95.68056402300603%%,95.75823844550195%%
5,19.5%%,84.91666666666669%%,92.27380952380952%%,93.83636363636361%%,94.58923494805848%%,94.77578223290298%%,95.17344817205499%%,95.65327068969079%%,96.05980209171281%%,95.80814231246013%%,95.93781310071655%%,95.74550943493874%%,95.93342258206344%%,95.7929490390037%%,95.92604964323812%%,95.71184711414091%%,95.61126167799596%%,95.6030217662002%%,95.79446356054227%%,95.83889450667456%%
6,37.0%%,72.25%%,92.51309523809523%%,93.13030303030303%%,94.91290947614478%%,95.324323951762%%,95.71044177439047%%,95.86157448134092%%,96.1350340856673%%,96.07896262231769%%,96.03343832736238%%,95.8374164551306%%,95.86079043584805%%,96.10608242541105%%,96.07084043151175%%,96.09706191391389%%,96.12395727232817%%,96.06056295401525%%,95.90526802244324%%,95.84122687945472%%
7,12.0%%,77.0%%,91.29166666666666%%,92.95511849261848%%,94.74381776634098%%,95.52057253413494%%,95.83098731524402%%,95.92949871883903%%,95.77924841959%%,95.70750689552193%%,95.95405254529824%%,95.99869133968787%%,95.9139457176646%%,96.0334484786555%%,95.9451948914835%%,95.99308877519783%%,95.8271588053866%%,95.81176735909865%%,95.82463333302005%%,95.97038943073083%%
8,5.0%%,69.91666666666667%%,95.01190476190477%%,93.11302308802307%%,93.94886992092871%%,94.96808006123189%%,95.1858428954199%%,95.22112596467859%%,95.30784841733865%%,95.70989940064469%%,95.56282126253123%%,95.60901657786923%%,95.76164981828916%%,95.8203967156013%%,96.02500793714886%%,96.14609904567772%%,96.04513963942657%%,96.06488418103362%%,96.03757476264259%%,96.0218660750723%%
9,7.0%%,57.0%%,85.93333333333332%%,92.80771173271172%%,93.61297052620579%%,94.94225300133229%%,95.21956943431972%%,95.57863284185936%%,95.6117846321594%%,95.80834642192866%%,95.64885906282933%%,95.72003778108447%%,95.5535737840391%%,95.65645299385159%%,95.83611056137916%%,95.92138197203418%%,95.99168303941444%%,95.95319037681895%%,96.04041594579763%%,96.0317711459346%%
10,4.0%%,23.666666666666664%%,86.20714285714286%%,93.00714563214562%%,93.94843039227717%%,94.9137620581136%%,95.15038606255094%%,95.54627963213417%%,95.74539140295077%%,96.03062433909764%%,95.85233122180614%%,95.77067794981927%%,95.873604692679%%,95.73451734998021%%,95.81542185665715%%,95.77464426143284%%,95.7898427772846%%,95.85905995475724%%,95.8458276123289%%,95.9218322904075%%
11,7.0%%,50.0%%,88.8%%,92.70652958152955%%,93.5753837278992%%,94.46863700025466%%,95.2188174049444%%,95.68852166644643%%,95.94448427923388%%,95.92031078600206%%,95.95262395843405%%,95.86636697650489%%,95.8361007979562%%,95.77695220776097%%,95.7353120378762%%,95.81789914716305%%,95.81099009614361%%,95.73968466581364%%,95.81757194492397%%,95.89821294072011%%
12,6.5%%,60.91666666666667%%,90.73888888888887%%,93.94263236763236%%,94.20311877664821%%,95.16591521821535%%,95.58368791858595%%,95.66667970447185%%,95.65864023914733%%,95.90590686469504%%,95.97037119226596%%,96.04441005660081%%,95.81067869209188%%,95.75059981602867%%,95.82636175609314%%,95.81720457776588%%,95.77873110524042%%,95.69814744406233%%,95.79919639673454%%,95.82255536003159%%
13,1.0%%,51.16666666666666%%,90.33095238095237%%,93.99014041514039%%,93.14608210417035%%,94.25196443649233%%,94.54211429220781%%,94.49257087269788%%,95.03978964605908%%,95.64184891433074%%,95.71593771129004%%,95.77444256088054%%,95.73174760147842%%,95.60225088282137%%,95.58301498582061%%,95.52768589461142%%,95.75700207152632%%,95.86437555468346%%,95.92069547241319%%,95.92718475521828%%
14,2.0%%,26.0%%,92.01666666666667%%,94.81121101121099%%,94.76722073954373%%,94.84468655452773%%,94.58109281786867%%,94.73094794883599%%,95.03879262281154%%,95.24719738066597%%,95.46064356818871%%,95.5691818834502%%,95.5797256422954%%,95.60036748108574%%,95.71728459489124%%,95.76897980992837%%,95.78010849399867%%,95.83770902334086%%,95.83351339173076%%,95.89682756099711%%
15,2.0%%,35.5%%,95.15833333333332%%,93.82681762681761%%,94.70182399897703%%,94.71337163017705%%,94.8005953662058%%,95.00757501230508%%,95.02990949952579%%,95.1685258781698%%,95.361042665654%%,95.43210540529239%%,95.43195223923925%%,95.37387415561689%%,95.47988742499197%%,95.59126625159773%%,95.81601936761463%%,95.89017822625937%%,95.90414788604947%%,95.95138628934392%%
16,3.0%%,29.0%%,86.54761904761905%%,93.0542957042957%%,94.81390840000847%%,94.92815042689519%%,95.1865453307247%%,95.14297102295228%%,95.22231940838999%%,94.85276712500763%%,95.1911732319653%%,95.28520946751075%%,95.30825393437425%%,95.41179395329006%%,95.53729942216789%%,95.58428498983281%%,95.67483694868028%%,95.84971998093653%%,95.86631597653063%%,95.91644604291456%%
17,6.0%%,74.16666666666666%%,87.1%%,92.90670995670995%%,94.75519156196403%%,94.774656226326%%,95.16092682484037%%,95.1589314724784%%,95.4070695558382%%,95.26453507229242%%,95.32085224481476%%,95.66942848510402%%,95.7479737782875%%,95.89847466384657%%,95.80320712655305%%,95.69532240698477%%,95.73283060043994%%,95.83289917030201%%,95.83370230798292%%,95.8260992061149%%
18,49.0%%,65.66666666666666%%,89.02380952380952%%,93.66884643134641%%,94.53328563851011%%,95.05228996303197%%,94.92158165399749%%,94.82979998943802%%,95.40628863388048%%,95.35338388650227%%,95.67653995403876%%,95.76438919487923%%,95.83802237914414%%,95.87249167697601%%,95.85277275680829%%,95.88958059213701%%,96.01777917824398%%,95.9843743738177%%,95.9136478780912%%,95.8680162033347%%
19,49.0%%,67.66666666666666%%,91.87380952380953%%,94.43912476412476%%,95.08182834126434%%,94.95979178608812%%,94.74297999689948%%,95.0645947660494%%,95.26181851714661%%,95.39358220772193%%,95.57351323682406%%,95.82426661192954%%,95.84896456108385%%,95.93256040905212%%,96.0057758848845%%,95.8687971136952%%,95.9530836874564%%,95.91096131839151%%,95.91543561346272%%,95.91543561346272%%
