,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.5%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%
2,2.4390243902439024%%,0.0%%,0.0%%,1.639344262295082%%,1.6129032258064515%%,3.1746031746031744%%,3.1746031746031744%%,3.1746031746031744%%,1.5625%%,1.5151515151515151%%,1.4925373134328357%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,1.282051282051282%%,1.282051282051282%%
3,0.0%%,0.0%%,1.9230769230769231%%,1.7543859649122806%%,1.6129032258064515%%,1.5873015873015872%%,2.9850746268656714%%,4.3478260869565215%%,2.8169014084507045%%,4.166666666666666%%,2.7027027027027026%%,1.3513513513513513%%,1.3333333333333335%%,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,1.282051282051282%%,1.282051282051282%%
4,0.0%%,0.0%%,0.0%%,5.263157894736842%%,2.2222222222222223%%,5.357142857142857%%,5.0%%,4.6875%%,4.411764705882353%%,2.857142857142857%%,2.857142857142857%%,2.8169014084507045%%,2.7777777777777777%%,1.3333333333333335%%,1.3333333333333335%%,1.2987012987012987%%,1.2987012987012987%%,1.282051282051282%%,1.282051282051282%%,1.282051282051282%%
5,0.0%%,0.0%%,0.0%%,2.0%%,0.0%%,0.0%%,0.0%%,1.5151515151515151%%,2.9850746268656714%%,2.941176470588235%%,1.4492753623188406%%,1.4285714285714286%%,1.4084507042253522%%,1.3888888888888888%%,1.36986301369863%%,1.3333333333333335%%,1.3157894736842104%%,1.3157894736842104%%,1.2987012987012987%%,1.282051282051282%%
6,0.0%%,0.0%%,0.0%%,0.0%%,1.7543859649122806%%,3.076923076923077%%,1.5151515151515151%%,1.4492753623188406%%,2.7777777777777777%%,2.7777777777777777%%,2.7777777777777777%%,1.3888888888888888%%,1.3513513513513513%%,1.3157894736842104%%,1.3157894736842104%%,1.2987012987012987%%,1.282051282051282%%,1.282051282051282%%,1.282051282051282%%,1.282051282051282%%
7,0.0%%,0.0%%,1.9230769230769231%%,0.0%%,0.0%%,1.5151515151515151%%,1.4492753623188406%%,1.4492753623188406%%,1.4492753623188406%%,2.7777777777777777%%,1.36986301369863%%,1.3513513513513513%%,1.3513513513513513%%,1.3333333333333335%%,1.3333333333333335%%,1.3157894736842104%%,1.2987012987012987%%,1.2987012987012987%%,1.282051282051282%%,1.282051282051282%%
8,0.0%%,0.0%%,2.0408163265306123%%,0.0%%,0.0%%,1.4925373134328357%%,1.4285714285714286%%,1.4084507042253522%%,1.3888888888888888%%,1.3888888888888888%%,1.36986301369863%%,1.3333333333333335%%,1.3333333333333335%%,2.631578947368421%%,2.631578947368421%%,2.564102564102564%%,1.282051282051282%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
9,0.0%%,0.0%%,0.0%%,0.0%%,0.0%%,3.278688524590164%%,1.5151515151515151%%,1.4285714285714286%%,2.73972602739726%%,2.7027027027027026%%,1.3333333333333335%%,1.3157894736842104%%,1.3157894736842104%%,1.2987012987012987%%,1.2987012987012987%%,1.2987012987012987%%,1.2987012987012987%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
10,0.0%%,0.0%%,3.7735849056603774%%,1.7241379310344827%%,0.0%%,1.6129032258064515%%,2.9850746268656714%%,1.3888888888888888%%,1.36986301369863%%,1.3333333333333335%%,1.3157894736842104%%,1.3157894736842104%%,1.3157894736842104%%,1.2987012987012987%%,1.2987012987012987%%,1.2987012987012987%%,1.2987012987012987%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
