,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,15.5%%,9.833333333333332%%,23.08333333333333%%,24.83333333333333%%,23.0%%,27.150000000000006%%,28.233333333333338%%,24.733333333333338%%,24.1%%,23.76666666666667%%,22.516666666666666%%,21.516666666666662%%,22.766666666666666%%,21.099999999999994%%,19.933333333333326%%,21.18333333333333%%,22.81666666666667%%,22.0%%,21.11666666666667%%,21.400000000000006%%
2,0.0%%,2.0%%,10.25%%,14.816666666666668%%,18.53333333333334%%,24.7%%,22.266666666666662%%,22.799999999999997%%,22.949999999999996%%,23.116666666666664%%,21.33333333333333%%,19.583333333333332%%,18.95%%,17.816666666666666%%,15.633333333333331%%,14.199999999999998%%,14.616666666666664%%,14.516666666666667%%,16.2%%,15.65%%
3,4.833333333333333%%,8.166666666666666%%,8.333333333333334%%,9.483333333333334%%,21.816666666666666%%,18.033333333333328%%,15.733333333333325%%,14.68333333333333%%,13.666666666666663%%,22.03333333333333%%,22.916666666666664%%,23.333333333333336%%,22.199999999999996%%,24.11666666666666%%,21.699999999999992%%,20.183333333333326%%,20.61666666666666%%,21.266666666666666%%,23.183333333333334%%,23.116666666666664%%
4,0.0%%,2.5%%,7.583333333333332%%,14.916666666666663%%,24.61666666666667%%,28.18333333333334%%,27.71666666666666%%,26.333333333333325%%,25.916666666666657%%,25.03333333333333%%,26.6%%,28.533333333333335%%,26.833333333333343%%,24.433333333333334%%,22.35%%,23.75%%,24.083333333333336%%,23.733333333333334%%,22.966666666666665%%,22.716666666666665%%
5,0.0%%,3.833333333333333%%,8.916666666666668%%,26.166666666666664%%,26.18333333333334%%,27.78333333333333%%,25.833333333333325%%,24.866666666666664%%,24.699999999999996%%,23.65%%,24.63333333333333%%,23.93333333333333%%,24.0%%,23.783333333333335%%,23.066666666666666%%,22.083333333333336%%,20.6%%,20.166666666666664%%,21.166666666666664%%,20.83333333333333%%
6,0.0%%,0.0%%,21.08333333333333%%,24.7%%,26.83333333333334%%,29.43333333333334%%,24.63333333333333%%,25.43333333333333%%,24.366666666666664%%,23.21666666666667%%,21.599999999999994%%,20.766666666666662%%,22.33333333333333%%,22.53333333333333%%,24.0%%,22.35%%,21.1%%,20.349999999999998%%,19.599999999999998%%,20.333333333333332%%
7,0.0%%,5.666666666666666%%,12.616666666666665%%,19.48333333333333%%,25.56666666666667%%,23.266666666666662%%,22.883333333333326%%,19.383333333333333%%,16.68333333333333%%,20.249999999999996%%,21.36666666666666%%,21.83333333333333%%,23.15%%,22.56666666666666%%,22.43333333333333%%,21.55%%,20.8%%,20.7%%,20.049999999999997%%,20.58333333333333%%
8,0.0%%,2.9999999999999996%%,15.833333333333332%%,13.266666666666667%%,20.13333333333333%%,21.38333333333333%%,22.799999999999997%%,19.71666666666666%%,19.816666666666666%%,18.083333333333332%%,20.58333333333333%%,20.7%%,22.88333333333333%%,23.8%%,22.45%%,23.08333333333333%%,22.63333333333333%%,22.48333333333333%%,20.83333333333333%%,20.15%%
9,0.0%%,1.5%%,11.583333333333336%%,19.616666666666664%%,16.18333333333333%%,20.316666666666666%%,22.08333333333333%%,20.116666666666664%%,19.866666666666664%%,18.45%%,20.966666666666665%%,20.65%%,19.349999999999998%%,19.7%%,19.9%%,19.866666666666664%%,21.83333333333333%%,21.13333333333333%%,20.28333333333333%%,19.9%%
10,0.0%%,0.0%%,15.499999999999998%%,16.599999999999998%%,16.366666666666664%%,19.3%%,19.83333333333333%%,19.81666666666666%%,20.016666666666662%%,21.33333333333333%%,21.85%%,20.51666666666667%%,20.616666666666664%%,20.066666666666666%%,19.116666666666667%%,18.883333333333333%%,19.53333333333333%%,19.433333333333334%%,19.233333333333334%%,19.233333333333334%%
11,0.0%%,8.5%%,13.083333333333332%%,16.666666666666664%%,17.23333333333333%%,18.366666666666664%%,16.616666666666664%%,18.849999999999994%%,19.13333333333333%%,21.15%%,21.4%%,20.133333333333333%%,18.25%%,19.316666666666666%%,19.733333333333334%%,20.75%%,22.35%%,21.45%%,21.25%%,20.65%%
12,0.0%%,3.333333333333333%%,16.083333333333336%%,21.399999999999995%%,13.916666666666668%%,15.149999999999999%%,17.316666666666663%%,18.683333333333326%%,18.88333333333333%%,19.33333333333333%%,20.616666666666664%%,20.866666666666664%%,19.45%%,20.016666666666666%%,20.416666666666668%%,20.65%%,20.6%%,20.85%%,20.05%%,19.85%%
13,0.0%%,3.333333333333333%%,20.449999999999996%%,17.966666666666665%%,15.549999999999997%%,16.499999999999996%%,15.783333333333333%%,17.299999999999997%%,19.483333333333327%%,18.966666666666665%%,18.666666666666664%%,22.499999999999996%%,20.73333333333333%%,19.366666666666667%%,19.733333333333334%%,21.7%%,21.25%%,20.85%%,20.45%%,19.85%%
14,0.0%%,0.0%%,19.65%%,24.016666666666662%%,18.4%%,19.833333333333332%%,16.133333333333336%%,17.2%%,18.65%%,18.58333333333333%%,19.916666666666664%%,20.56666666666667%%,21.716666666666665%%,20.683333333333334%%,19.4%%,20.1%%,19.85%%,19.85%%,19.85%%,19.85%%
15,0.0%%,0.0%%,13.933333333333335%%,18.316666666666663%%,20.15%%,22.0%%,17.233333333333334%%,16.316666666666666%%,18.516666666666666%%,19.9%%,20.116666666666664%%,19.116666666666664%%,18.633333333333333%%,19.383333333333333%%,19.183333333333334%%,19.083333333333332%%,20.15%%,19.85%%,20.35%%,20.35%%
16,0.0%%,0.0%%,8.083333333333334%%,14.366666666666665%%,26.149999999999995%%,21.183333333333326%%,19.183333333333334%%,19.1%%,17.716666666666665%%,18.0%%,19.316666666666666%%,18.633333333333333%%,18.633333333333333%%,19.483333333333334%%,19.183333333333334%%,19.183333333333334%%,19.25%%,20.0%%,19.8%%,19.75%%
17,0.0%%,6.0%%,8.0%%,12.199999999999996%%,18.866666666666664%%,22.2%%,19.166666666666664%%,18.466666666666665%%,18.68333333333333%%,16.883333333333333%%,18.983333333333334%%,19.483333333333334%%,20.783333333333335%%,19.633333333333333%%,19.03333333333333%%,18.95%%,19.0%%,20.4%%,20.3%%,20.25%%
18,8.0%%,5.833333333333332%%,16.583333333333332%%,13.949999999999998%%,14.583333333333332%%,22.783333333333335%%,19.799999999999997%%,18.833333333333332%%,19.15%%,20.03333333333333%%,21.216666666666665%%,20.916666666666664%%,20.916666666666664%%,21.216666666666665%%,21.1%%,20.75%%,21.1%%,20.8%%,20.0%%,20.0%%
19,8.0%%,5.833333333333332%%,12.666666666666663%%,14.999999999999998%%,18.916666666666664%%,20.166666666666664%%,18.88333333333333%%,18.616666666666664%%,19.55%%,20.833333333333336%%,20.683333333333334%%,20.53333333333333%%,20.366666666666664%%,21.8%%,22.25%%,21.8%%,21.0%%,20.75%%,20.3%%,20.0%%
20,7.0%%,4.583333333333333%%,16.249999999999996%%,14.03333333333333%%,21.999999999999996%%,18.2%%,19.266666666666666%%,22.983333333333338%%,20.03333333333333%%,20.416666666666664%%,21.28333333333333%%,20.183333333333334%%,19.683333333333334%%,21.35%%,20.8%%,20.6%%,20.35%%,20.05%%,20.0%%,20.0%%
