,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,13.55463950490009%%,9.286158425610132%%,9.696336371606943%%,9.457679256804195%%,8.560307408834404%%,9.483262850562323%%,9.653014312384675%%,9.464838507884757%%,8.50176908665583%%,7.681485705009968%%,8.00739949834796%%,7.990763268338753%%,8.508512769896566%%,8.050790599775542%%,8.19190077633628%%,8.659391451051258%%,8.899850613368917%%,8.355846286172573%%,7.938908061980316%%,7.8177498069151365%%
2,10.74545054618584%%,10.87407355233113%%,13.527970997217665%%,14.060338855715294%%,13.317952300508498%%,12.106056295345361%%,11.843860109874315%%,11.741751638460585%%,10.584107972097756%%,9.59458372888014%%,8.54687257853923%%,7.7217461212990575%%,8.023597780633912%%,7.931057585511838%%,8.049458114499176%%,7.7008311877202695%%,7.873956843647062%%,7.524437329746088%%,7.755189885759641%%,7.815924967733984%%
3,16.776789876789874%%,7.702715703280379%%,5.360387789019684%%,5.760588815939282%%,7.734709550979813%%,7.666542610636449%%,7.9794212542083445%%,8.120935398932515%%,10.484341117071931%%,13.21921521023158%%,12.738792395630377%%,11.742983704457915%%,11.77425396078734%%,12.402916988232473%%,11.795420184300758%%,11.305717256948355%%,11.581872844742852%%,10.858866359628461%%,10.810854365128602%%,10.320278162036997%%
4,5.785714285714286%%,7.653126341322934%%,5.210453819574905%%,6.912698650928437%%,9.876742446140389%%,11.896647455748663%%,14.335293347921777%%,13.260694362657212%%,13.793367746184634%%,14.737495804738982%%,14.584270046737883%%,13.572948664450696%%,13.783429658551393%%,12.98364862436334%%,12.367555902762472%%,11.561207295422198%%,11.193233517338896%%,10.46876608521526%%,10.461223349474976%%,10.458752072962602%%
5,0.2%%,7.900644195446996%%,5.674844317977403%%,7.259868809835558%%,7.570324713791324%%,7.657361800212361%%,10.98233658072794%%,11.02456505837479%%,11.6862688152781%%,12.73137373205296%%,13.095312116570359%%,12.464744348422094%%,11.443763428414098%%,10.873918695350238%%,10.130109902241747%%,9.744964451965636%%,9.505679598264825%%,9.257662176955755%%,9.140770704522454%%,9.02222556341811%%
6,2.583333333333333%%,5.407969307991181%%,7.868556819868442%%,8.238481607086753%%,11.48962216651191%%,12.434917035616047%%,11.092264554686981%%,11.670003408845249%%,11.705653852113366%%,11.23830995035111%%,11.160831391195032%%,11.136744868008277%%,10.67706249177984%%,11.42608903784823%%,10.80411869570486%%,10.208810333907671%%,9.719388341289452%%,9.416780427799752%%,9.174665678476481%%,9.067393856421182%%
7,0.0%%,9.315397276031277%%,10.22673234145732%%,10.346640592692216%%,11.824526253088823%%,10.83645248773168%%,10.250561595677281%%,9.566351220249448%%,9.796048088904165%%,10.9673921202868%%,10.922047843205014%%,11.538089463184972%%,11.63406125303386%%,11.107754697740283%%,10.657772630728662%%,9.986371763949274%%,9.530154562468914%%,9.331331711540804%%,9.182292648082127%%,9.156246050556517%%
8,0.0%%,6.84961986328085%%,10.236602462514568%%,8.443667907401869%%,9.812852580276783%%,9.57529243730223%%,10.25819498833886%%,9.266007898822798%%,9.001309659322663%%,9.816577361062679%%,9.855423659668936%%,10.218148194775631%%,10.624166282360232%%,11.128735831028555%%,11.185884034514174%%,10.988959971851385%%,10.364293368190772%%,9.906035059765916%%,9.542128535466318%%,9.15438259275702%%
9,0.0%%,10.540973732150201%%,5.641967543532847%%,7.358632027601167%%,6.554460317144068%%,6.779119028142909%%,8.70678078236877%%,9.85297722940162%%,10.03140971932017%%,10.321208319658899%%,10.55265075127311%%,10.76815675680858%%,10.455242867490506%%,9.895612800555128%%,9.447909946857319%%,9.492302315986526%%,9.32336797917078%%,9.48187877190543%%,9.21721475504288%%,9.113521277745138%%
10,0.0%%,0.65%%,7.829359848671052%%,8.06729327410871%%,7.287300165919251%%,8.62057757620114%%,9.193703707176816%%,10.301863844620277%%,11.15933344415601%%,11.101030359227217%%,10.057320061487449%%,9.836454875536491%%,9.635033170044649%%,9.413841330492378%%,8.91409682868948%%,8.993977265029901%%,9.096011949169851%%,9.062082654187925%%,9.045655758853638%%,9.150527354058342%%
