,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,95.72261904761903%%,94.07770562770561%%,92.49374514374513%%,92.23848651348652%%,92.25909939733468%%,92.12831347788779%%,92.32822305851818%%,93.08373762094384%%,93.25389299429175%%,92.99287736863924%%,92.96992947471207%%,93.06674485274029%%,93.0036752933364%%,93.05262217491487%%,93.17207601626%%,93.31208475761431%%,93.32263892080006%%,93.3702579684191%%,93.40597225413339%%,93.40597225413339%%
2,94.37380952380953%%,94.36004273504274%%,93.70097490658637%%,93.15032071901265%%,93.63598908248392%%,94.0271471401971%%,94.6276966578315%%,94.47578678804908%%,94.75566479766356%%,94.63645489367065%%,94.8121682045287%%,95.0622261100106%%,95.1865695740219%%,95.3964793439429%%,95.38805543127646%%,95.31034935153679%%,95.31034935153679%%,95.31368823105602%%,95.2851168024846%%,95.2851168024846%%
3,93.1%%,94.15873015873017%%,94.2030980457451%%,93.55099466666803%%,94.03106839459574%%,94.72645924777106%%,95.39834279909593%%,95.30388368645819%%,95.36469604454524%%,95.17378068401673%%,95.13725378887091%%,95.49405853055742%%,95.59784771398914%%,95.67521136820464%%,95.63211980251246%%,95.63073380112647%%,95.61261559201868%%,95.64449978969236%%,95.64449978969236%%,95.64449978969236%%
4,70.65%%,95.47222222222223%%,93.54256021756018%%,93.70033953404692%%,94.45850973820525%%,95.15955967350756%%,95.5138335475668%%,95.38477565500364%%,95.38326786560728%%,95.21299886884881%%,95.31103945749018%%,95.66546202474791%%,95.70133152749237%%,95.84454673803748%%,95.83651958984005%%,95.77699836782733%%,95.79252662019766%%,95.79449688314352%%,95.79449688314352%%,95.79617755541243%%
5,65.96666666666667%%,93.32380952380953%%,93.3359668109668%%,93.85887839370811%%,94.92641323009666%%,95.7951853578506%%,95.96352931956375%%,95.77160856132015%%,95.59177154989911%%,95.64220319224289%%,95.72693398032081%%,95.87788159864712%%,95.96674909258523%%,95.90101690933058%%,95.83468714825642%%,95.8526815518017%%,95.86446272455845%%,95.86446272455845%%,95.86446272455845%%,95.86588519966513%%
6,50.00000000000001%%,91.43095238095239%%,92.56748806748807%%,94.1531643751845%%,95.38229105147248%%,96.02299447909334%%,95.97230019473%%,95.89538295172025%%,95.7387703306308%%,95.7714253067205%%,95.85591052405863%%,95.89819462972622%%,95.90613770851427%%,95.89239334303691%%,95.86339696515623%%,95.87663590297039%%,95.87785541516553%%,95.87785541516553%%,95.87785541516553%%,95.8792778902722%%
7,42.16666666666667%%,90.0%%,92.25030247530248%%,94.28800522662752%%,95.99749735394309%%,96.03971104558894%%,95.96585993863044%%,95.76117935294373%%,95.75294461477922%%,95.81797749298931%%,95.88498675939334%%,95.87002914763791%%,95.90225287767936%%,95.94076133703277%%,95.89857844991293%%,95.89928968746626%%,95.89928968746626%%,95.90050919966139%%,95.90050919966139%%,95.90185872732671%%
8,43.33333333333333%%,89.33333333333334%%,93.35148185148182%%,94.34576113171318%%,95.8859568792806%%,95.96577367836971%%,96.02018848633263%%,95.91876223346486%%,95.89966487241277%%,95.88075476606073%%,95.89290547799081%%,95.89255813973385%%,95.93154524072538%%,95.9542498516445%%,95.9062799194565%%,95.90699115700983%%,95.90821066920496%%,95.90821066920496%%,95.90821066920496%%,95.90956019687027%%
9,16.0%%,82.83333333333334%%,92.90717893217892%%,94.24026118808726%%,95.63758547786836%%,95.60915074954391%%,95.91216103119878%%,95.8904636509514%%,95.90921294544769%%,95.90995433779976%%,95.88588815538509%%,95.89007186048246%%,95.95139549655882%%,95.9277491865442%%,95.909167422344%%,95.909167422344%%,95.91038693453913%%,95.91038693453913%%,95.91038693453913%%,95.91173646220444%%
10,11.0%%,79.08333333333333%%,92.45476190476191%%,94.25329811377054%%,95.67064673126099%%,95.65759351266026%%,95.96453398996513%%,95.83389086883342%%,95.98751197914535%%,95.88102248348088%%,95.81251926141944%%,95.87719200347743%%,95.96247751815203%%,95.96297314479543%%,95.91159877390886%%,95.91231001146221%%,95.91352952365733%%,95.91352952365733%%,95.91352952365733%%,95.91487905132264%%
