,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.4492753623188406%%,1.2987012987012987%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
2,0.0%%,1.3333333333333335%%,1.2987012987012987%%,1.282051282051282%%,1.2658227848101267%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
3,2.083333333333333%%,2.7777777777777777%%,2.631578947368421%%,1.2658227848101267%%,2.5316455696202533%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
4,0.0%%,1.7241379310344827%%,0.0%%,1.3333333333333335%%,2.631578947368421%%,2.564102564102564%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
5,5.88235294117647%%,0.0%%,1.4285714285714286%%,1.3513513513513513%%,3.896103896103896%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
6,7.6923076923076925%%,0.0%%,1.4492753623188406%%,1.3513513513513513%%,3.896103896103896%%,3.79746835443038%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
7,4.3478260869565215%%,0.0%%,0.0%%,1.3333333333333335%%,2.564102564102564%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
8,6.666666666666667%%,0.0%%,0.0%%,1.3333333333333335%%,2.5974025974025974%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
9,9.090909090909092%%,0.0%%,0.0%%,1.3333333333333335%%,2.5974025974025974%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
10,6.25%%,0.0%%,0.0%%,1.3513513513513513%%,2.5974025974025974%%,1.282051282051282%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
