,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.7277472527472515%%,5.627020202020201%%,5.334249084249085%%,5.370362970362972%%,7.7739926739926695%%,7.6194139194139145%%,8.543406593406592%%,8.292857142857141%%,8.980952380952381%%,8.133333333333331%%,7.733333333333331%%,7.93333333333333%%,7.199999999999999%%,6.866666666666664%%,6.866666666666664%%,6.6666666666666625%%,6.599999999999998%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
2,2.0130952380952376%%,4.259357309357308%%,6.600405150405152%%,6.090151515151516%%,6.613986013986015%%,8.144871794871793%%,9.404578754578749%%,8.191941391941388%%,7.910989010989007%%,7.819780219780216%%,7.6102564102564045%%,7.933333333333329%%,7.533333333333329%%,7.533333333333329%%,7.266666666666663%%,6.799999999999995%%,6.799999999999995%%,6.799999999999995%%,6.733333333333329%%,6.666666666666664%%
3,10.439321789321788%%,10.32211677211677%%,9.32837717837718%%,7.0895104895104915%%,8.11190476190476%%,9.61080586080586%%,9.280769230769227%%,7.744322344322338%%,7.5054945054944975%%,7.5428571428571365%%,7.333333333333326%%,6.9333333333333265%%,6.733333333333329%%,6.599999999999998%%,6.866666666666663%%,6.733333333333329%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
4,6.2023809523809526%%,7.803962703962702%%,9.110017760017762%%,7.35837495837496%%,8.094688644688649%%,9.087728937728935%%,8.896520146520144%%,7.538827838827832%%,7.381684981684973%%,7.219780219780213%%,7.2666666666666595%%,6.9333333333333265%%,6.866666666666663%%,6.9999999999999964%%,6.9999999999999964%%,6.799999999999996%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
5,11.402777777777779%%,5.485339660339659%%,8.198962148962147%%,8.043489843489844%%,8.489926739926739%%,8.756476856476853%%,9.184798534798531%%,7.81575091575091%%,7.520512820512814%%,7.439560439560434%%,7.153846153846148%%,6.8047619047619%%,6.6666666666666625%%,7.133333333333331%%,6.93333333333333%%,6.733333333333329%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
6,5.783333333333332%%,3.619455544455544%%,5.5642107892107875%%,7.928099678099679%%,9.394688644688644%%,9.00214785214785%%,9.29413919413919%%,7.830769230769225%%,7.396703296703291%%,7.434798534798529%%,7.080952380952375%%,6.733333333333329%%,6.733333333333329%%,7.133333333333331%%,6.93333333333333%%,6.799999999999996%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
7,3.916666666666666%%,4.6305916305916295%%,5.244072594072592%%,7.493423243423244%%,9.208374958374959%%,8.87252747252747%%,9.16245421245421%%,8.03479853479853%%,7.468131868131864%%,7.368131868131862%%,6.876923076923072%%,6.733333333333329%%,7.13333333333333%%,7.133333333333331%%,6.93333333333333%%,6.799999999999996%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
8,3.75%%,3.5988455988455983%%,6.034099234099232%%,7.794827394827396%%,9.440609390609389%%,8.682484182484183%%,9.02289377289377%%,8.117216117216111%%,7.530036630036625%%,7.363369963369957%%,7.0871794871794815%%,6.876923076923073%%,7.133333333333329%%,7.066666666666664%%,6.93333333333333%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
9,5.283333333333332%%,3.0845238095238097%%,7.153110778110776%%,7.013325563325565%%,8.514102564102568%%,8.317948717948717%%,9.131934731934729%%,8.372893772893768%%,7.601465201465196%%,7.453846153846148%%,6.95311355311355%%,6.876923076923073%%,7.199999999999997%%,7.066666666666664%%,6.799999999999996%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
10,6.583333333333334%%,2.5746031746031743%%,6.9206460206460205%%,7.659729159729161%%,8.392624042624046%%,8.49915084915085%%,9.005311355311353%%,8.54505494505494%%,7.663369963369957%%,7.3824175824175775%%,6.8102564102564065%%,6.74358974358974%%,7.0666666666666655%%,6.866666666666663%%,6.799999999999996%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
11,5.399999999999999%%,7.079761904761905%%,5.712595737595738%%,6.649178599178599%%,8.893173493173498%%,7.413553113553114%%,8.107209457209457%%,8.699084249084246%%,7.801465201465195%%,7.239560439560434%%,6.943589743589739%%,6.74358974358974%%,7.009523809523808%%,6.93333333333333%%,6.799999999999996%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
12,0.0%%,6.681349206349206%%,7.0559329559329536%%,8.033974358974362%%,8.730536130536134%%,7.1142857142857165%%,8.5003663003663%%,8.540293040293038%%,7.725274725274719%%,7.306227106227099%%,6.881684981684978%%,6.74358974358974%%,7.1428571428571415%%,6.866666666666663%%,6.799999999999996%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
