,1,2,3,4
1,7.733557391732887%%,8.655762425517558%%,7.2246627998862145%%,7.759942102007755%%
2,6.771677259821043%%,7.385648767406139%%,7.800156884571273%%,7.9131823223293996%%
3,10.503611868772527%%,8.696253404116014%%,9.707430257985159%%,9.704516325049564%%
4,6.730992226030252%%,7.6568352334525995%%,8.030816473975838%%,9.144569567552008%%
5,10.045179656944361%%,7.049969322244192%%,8.070614056417902%%,8.976378509498897%%
6,20.8813492063492%%,6.733517424567474%%,7.727366568354348%%,9.961882557752055%%
7,15.319083694083695%%,8.088318742384986%%,7.432172814362195%%,9.110712574676539%%
8,24.25717893217892%%,8.596631599221945%%,7.371897382034758%%,8.8585496133004%%
9,5.4833333333333325%%,9.7091807600633%%,8.131192724161412%%,8.704165639851771%%
10,8.116666666666667%%,10.22975399475265%%,7.882121502032423%%,9.023363075657766%%
11,9.15%%,12.213000493919862%%,8.150754280874981%%,9.010684567566036%%
12,1.0%%,12.507067075486445%%,9.083628777226274%%,10.055544352791202%%
13,0.0%%,10.901660409593845%%,9.371600420511514%%,10.09448929619159%%
14,0.0%%,10.637944099244407%%,9.728876085319094%%,10.837633265903214%%
15,0.0%%,8.949918062897606%%,9.255401149509495%%,10.778118731480514%%
16,0.0%%,9.07600336539965%%,9.339650301662608%%,10.609667811611645%%
17,0.0%%,7.759551396316104%%,8.525024606190119%%,10.462411100291995%%
18,0.0%%,8.857381752234696%%,8.478145056344124%%,null%
19,0.0%%,8.4616341991342%%,8.2868616794762%%,null%
20,0.0%%,9.470389332889335%%,8.89412015302461%%,null%
