,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,89.79504523254523%%,87.35557686637407%%,86.77698307479403%%,85.46040477973561%%,85.45575800298559%%,86.3507064770927%%,86.31004259316308%%,86.77854764256877%%,87.5199596366343%%,87.80378002023194%%,87.38641794738243%%,87.74610183549429%%,87.87094198982822%%,87.7355563581811%%,87.99785719024783%%,87.90763355851139%%,87.80273190801425%%,87.93317949910471%%,87.91317949910471%%,87.85139553838457%%
2,93.44094516594515%%,88.56098819481171%%,87.98343898684429%%,88.60322815151308%%,89.29791637916256%%,90.31833177743887%%,90.35293962040524%%,90.13820491220214%%,90.63383819289758%%,90.53650363588913%%,90.30682202489436%%,90.67763711505451%%,90.7717682192789%%,90.67103069470342%%,90.79972477304612%%,90.88564863903282%%,90.78550228163945%%,90.88224296990158%%,90.86685835451698%%,90.85277384747471%%
3,95.04873737373738%%,92.4719082087503%%,90.19305835887157%%,89.85262103649413%%,90.91922834406856%%,91.03428402196955%%,91.06052293326022%%,91.1703050245773%%,91.17845883924727%%,91.20693469944524%%,91.12665020203602%%,91.23484240056237%%,91.23297123398623%%,91.18584056919178%%,91.23450059514629%%,91.31173960806936%%,91.41959125530991%%,91.42304858986688%%,91.43260691829643%%,91.43260691829643%%
4,95.60396825396823%%,93.85986415974803%%,89.442456049599%%,87.83344927621724%%,90.0817208127453%%,90.52958407085214%%,90.57606745529951%%,90.54756155970739%%,90.77208314737331%%,91.14652110611912%%,91.13271649671354%%,91.24306805708558%%,91.28920457882144%%,91.26119668805312%%,91.42474037018988%%,91.5315802036137%%,91.49694812572046%%,91.49694812572046%%,91.50937174915764%%,91.50937174915764%%
5,92.56666666666666%%,89.38370795870793%%,88.12241249674278%%,90.71165117704099%%,90.88110423621154%%,91.22782588572615%%,91.42774137208815%%,91.31664016165476%%,91.28244834263535%%,91.44114366205864%%,91.64550317652436%%,91.59760996506002%%,91.5325381833926%%,91.62340746068482%%,91.6540896079315%%,91.62111192605309%%,91.61026833926013%%,91.61605874028704%%,91.61760195016357%%,91.61760195016357%%
6,92.88333333333333%%,90.94461649461647%%,88.67263653356058%%,89.45414060116434%%,90.35416351544178%%,90.99903092249366%%,91.59056450103265%%,91.72010904316299%%,91.74454418245665%%,91.73643404690316%%,91.62230894833876%%,91.57935558291821%%,91.68257069754716%%,91.63922880213164%%,91.63183374049773%%,91.63183374049773%%,91.63183374049773%%,91.63337695037427%%,91.63337695037427%%,91.63337695037427%%
7,91.4%%,88.90277777777774%%,88.85656667242307%%,89.72964589989355%%,90.40559332113651%%,91.55107579705076%%,91.82962848960811%%,91.69484945691116%%,91.6486124195507%%,91.6854957522501%%,91.64632631962691%%,91.69126316735526%%,91.67688580998434%%,91.66691605919954%%,91.6576753526487%%,91.6576753526487%%,91.6576753526487%%,91.65921856252524%%,91.65921856252524%%,91.65921856252524%%
8,89.66666666666666%%,86.67380952380951%%,88.78274335575281%%,89.56425097549665%%,90.37337456034979%%,91.64153052479986%%,91.84886339636562%%,91.68958403127928%%,91.61788081807266%%,91.58542562385541%%,91.54950813313845%%,91.58399357134418%%,91.59521388058737%%,91.66390773604458%%,91.66352055682775%%,91.67261557427491%%,91.6736958211885%%,91.6736958211885%%,91.6736958211885%%,91.6736958211885%%
9,42.41666666666666%%,90.7345238095238%%,88.19008100639881%%,89.86004220353333%%,90.44423452960623%%,91.3093224398062%%,91.64450492699454%%,91.68001031592094%%,91.60397544473031%%,91.53682889058695%%,91.67720128460131%%,91.67124081513926%%,91.67544947567706%%,91.67544947567706%%,91.67751831920933%%,91.67751831920933%%,91.67859856612289%%,91.67859856612289%%,91.67859856612289%%,91.67859856612289%%
10,27.5%%,77.85%%,88.55044418702548%%,90.56590307515509%%,90.58182505211438%%,91.3413737166938%%,91.74831105965423%%,91.75214090720226%%,91.65642326066258%%,91.71994695782165%%,91.71811763558648%%,91.68681231809697%%,91.68910195883598%%,91.68910195883598%%,91.69117080236825%%,91.69117080236825%%,91.6922247017961%%,91.6922247017961%%,91.6922247017961%%,91.6922247017961%%
11,27.0%%,87.97857142857146%%,88.37917508188404%%,90.13200175284028%%,90.8292242943256%%,91.67434721328728%%,91.76871492222534%%,91.7112373259957%%,91.62903950151764%%,91.7019009961259%%,91.70808626400446%%,91.68997091409305%%,91.69065444109239%%,91.69211500584407%%,91.69328050700959%%,91.69433440643748%%,91.69433440643748%%,91.69433440643748%%,91.69433440643748%%,91.69433440643748%%
12,94.16666666666666%%,90.8%%,89.77363340003498%%,90.378066479253%%,91.43182556042235%%,91.8032604205086%%,91.62583925925748%%,91.63356233792041%%,91.63843591005525%%,91.61776277047967%%,91.70391598069156%%,91.69421805723556%%,91.69919630235992%%,91.70065686711163%%,91.7017928619185%%,91.7017928619185%%,91.7017928619185%%,91.7017928619185%%,91.7017928619185%%,91.7017928619185%%
13,95.0%%,90.76666666666668%%,89.19680387981471%%,90.77852524387428%%,91.59754322635641%%,91.7411641481046%%,91.80377937758851%%,91.68086036028117%%,91.66734539223248%%,91.61317907785808%%,91.70366357205933%%,91.70146829197368%%,91.70146829197368%%,91.70292885672539%%,91.70406485153228%%,91.70406485153228%%,91.70406485153228%%,91.70406485153228%%,91.70406485153228%%,91.70406485153228%%
14,94.5%%,87.81666666666668%%,89.99501042510532%%,90.64501542783007%%,91.75893263618374%%,91.83663905527112%%,91.86255902086559%%,91.73798588188369%%,91.66674998663873%%,91.60626656980634%%,91.7066922465092%%,91.70742475151664%%,91.70742475151664%%,91.70856074632353%%,91.70856074632353%%,91.70856074632353%%,91.70856074632353%%,91.70856074632353%%,91.70856074632353%%,91.70856074632353%%
15,95.5%%,87.45%%,89.2910219155592%%,90.74358942011064%%,92.140133345598%%,91.8401514862505%%,91.79607764246879%%,91.76126032451857%%,91.65600089260347%%,91.71157547955205%%,91.72125143116611%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%,91.70985902610282%%
16,94.83333333333331%%,87.63333333333334%%,89.84425425832747%%,91.18667640429805%%,92.27473613048068%%,92.0576048267155%%,91.84237369131424%%,91.6784127455212%%,91.6463489506413%%,91.71954696257451%%,91.7118619005324%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%,91.70046949546912%%
17,10.0%%,85.23333333333333%%,89.19195723582888%%,91.69446767963623%%,92.09627148800675%%,91.82688913709308%%,91.67997495055789%%,91.67036354574704%%,91.73687305355908%%,91.71213727583994%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%
18,15.0%%,91.48095238095239%%,88.68820555089904%%,91.53481580232214%%,91.96360588174221%%,91.95099501771081%%,91.81671767116494%%,91.78234023877503%%,91.7446022099774%%,91.71561689214373%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%
19,13.0%%,90.88809523809525%%,90.2153914025431%%,91.66464855385547%%,91.85700445631136%%,92.06303660970225%%,91.84424141258829%%,91.77865306058816%%,91.74715106126666%%,91.71561689214373%%,91.70621691260894%%,91.70621691260894%%,91.70621691260894%%,91.70707132135809%%,91.70707132135809%%,91.70707132135809%%,91.70707132135809%%,91.70707132135809%%,91.70707132135809%%,91.70707132135809%%
20,12.5%%,90.01666666666667%%,89.96787654210253%%,91.66431547564251%%,92.07542300286119%%,92.02886008585327%%,91.82357492183459%%,91.78174164648266%%,91.74991928460452%%,91.71843012134111%%,91.72037754101005%%,91.70898513594679%%,91.70898513594679%%,91.70983954469594%%,91.70983954469594%%,91.70983954469594%%,91.70983954469594%%,91.70983954469594%%,91.70983954469594%%,91.70983954469594%%
