,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.0%%,1.282051282051282%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
2,0.0%%,1.3157894736842104%%,1.2987012987012987%%,2.5316455696202533%%,2.5316455696202533%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
3,1.9230769230769231%%,1.3513513513513513%%,1.2987012987012987%%,1.282051282051282%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
4,5.0%%,2.857142857142857%%,1.3157894736842104%%,1.2987012987012987%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
5,2.564102564102564%%,1.4705882352941175%%,0.0%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
6,9.090909090909092%%,1.3888888888888888%%,0.0%%,0.0%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
7,4.166666666666666%%,2.73972602739726%%,1.282051282051282%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
8,11.11111111111111%%,1.4285714285714286%%,0.0%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
9,11.11111111111111%%,1.3157894736842104%%,0.0%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
10,0.0%%,1.8181818181818181%%,0.0%%,1.2658227848101267%%,2.5316455696202533%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%,1.2658227848101267%%
