,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.0%%,8.0%%,18.0%%,20.0%%,27.0%%,37.0%%,40.0%%,47.0%%,54.0%%,56.0%%,56.0%%,60.0%%,62.0%%,62.0%%,63.0%%,63.0%%,63.0%%,63.0%%,63.0%%,63.0%%
2,4.0%%,8.0%%,23.0%%,30.0%%,47.0%%,58.0%%,62.0%%,63.0%%,72.0%%,73.0%%,73.0%%,80.0%%,82.0%%,82.0%%,84.0%%,86.0%%,86.0%%,86.0%%,86.0%%,86.0%%
3,5.0%%,16.0%%,25.0%%,35.0%%,58.0%%,70.0%%,81.0%%,82.0%%,86.0%%,87.0%%,89.0%%,94.0%%,94.0%%,94.0%%,94.0%%,94.0%%,96.0%%,96.0%%,96.0%%,96.0%%
4,6.0%%,19.0%%,24.0%%,42.0%%,59.0%%,75.0%%,77.0%%,81.0%%,88.0%%,93.0%%,93.0%%,98.0%%,98.0%%,98.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
5,1.0%%,7.0%%,20.0%%,47.0%%,64.0%%,82.0%%,87.0%%,89.0%%,92.0%%,93.0%%,98.0%%,98.0%%,98.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
6,1.0%%,9.0%%,22.0%%,51.0%%,66.0%%,83.0%%,90.0%%,93.0%%,94.0%%,98.0%%,98.0%%,98.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
7,1.0%%,4.0%%,25.0%%,56.0%%,70.0%%,90.0%%,92.0%%,94.0%%,98.0%%,98.0%%,98.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
8,1.0%%,3.0%%,20.0%%,45.0%%,74.0%%,88.0%%,96.0%%,97.0%%,97.0%%,97.0%%,97.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
9,1.0%%,7.0%%,19.0%%,49.0%%,77.0%%,89.0%%,96.0%%,97.0%%,97.0%%,98.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
10,0.0%%,1.0%%,21.0%%,50.0%%,74.0%%,90.0%%,96.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
11,0.0%%,1.0%%,18.0%%,48.0%%,75.0%%,89.0%%,96.0%%,99.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
12,1.0%%,2.0%%,17.0%%,53.0%%,79.0%%,97.0%%,98.0%%,99.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
13,1.0%%,2.0%%,18.0%%,55.0%%,88.0%%,98.0%%,98.0%%,99.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
14,1.0%%,1.0%%,19.0%%,55.0%%,89.0%%,98.0%%,98.0%%,99.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
15,1.0%%,1.0%%,18.0%%,56.0%%,88.0%%,98.0%%,99.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
16,1.0%%,1.0%%,19.0%%,56.0%%,89.0%%,98.0%%,99.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
17,0.0%%,2.0%%,19.0%%,60.0%%,90.0%%,98.0%%,99.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
18,0.0%%,2.0%%,18.0%%,62.0%%,90.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
19,0.0%%,2.0%%,13.0%%,60.0%%,90.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
20,0.0%%,2.0%%,20.0%%,55.0%%,91.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%,100.0%%
