,1,2
1,5.2691197691197695%%,8.707392607392608%%
2,1.0%%,1.4682650682650682%%
3,1.5555555555555554%%,5.692313242313242%%
4,6.666666666666668%%,10.033008658008658%%
5,1.583333333333333%%,10.153210678210678%%
6,1.75%%,7.656263181263181%%
7,1.75%%,7.274938949938949%%
8,1.833333333333333%%,3.806227106227106%%
9,2.5%%,6.29047619047619%%
10,0.0%%,3.1845238095238098%%
11,0.0%%,3.169877344877345%%
12,1.833333333333333%%,4.563924963924964%%
13,1.833333333333333%%,4.5246031746031745%%
14,1.833333333333333%%,1.2428571428571429%%
15,1.833333333333333%%,1.2428571428571429%%
16,1.833333333333333%%,null%
17,0.0%%,null%
18,0.0%%,null%
19,0.0%%,null%
20,0.0%%,null%
