,1,2,3
1,7.768958790903436%%,8.417002400671233%%,7.407039023279496%%
2,4.310477483687008%%,7.3550617195107995%%,8.987010674057165%%
3,11.071370663326652%%,9.83889813529891%%,10.318211034961353%%
4,13.960377270935405%%,12.082060577470727%%,8.246774966354888%%
5,14.112412462838149%%,8.413570498456309%%,8.913957969725422%%
6,17.65817238317238%%,10.52449103355602%%,8.155394371145581%%
7,16.9282079032079%%,9.132375542072403%%,8.092997335705205%%
8,33.109126984126995%%,10.964424256490775%%,7.416505647402082%%
9,41.552777777777784%%,13.533076365664627%%,6.95500357102075%%
10,1.8666666666666665%%,10.335317788466455%%,7.50284482047303%%
11,0.0%%,9.587654353523808%%,9.298336325777084%%
12,47.37460317460317%%,13.432603559003846%%,10.64592690728958%%
13,44.2186507936508%%,13.130472814920076%%,10.291168811873542%%
14,42.8920634920635%%,8.114363323170696%%,11.614750802961117%%
15,44.68336940836941%%,8.017710712161023%%,10.071461542341659%%
16,42.04289321789322%%,7.208581836084898%%,11.551982090265476%%
17,0.0%%,10.37777374232222%%,12.341078214450658%%
18,6.326190476190477%%,13.187798253333872%%,11.865481746068909%%
19,6.816666666666666%%,14.185846709837831%%,null%
20,0.0%%,13.826843959087535%%,null%
