,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
T=1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
T=2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
T=3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
T=4,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.35%,1.35%,1.35%,1.35%,1.35%,1.35%,1.35%,1.35%,1.35%
T=5,4.5%,4.5%,5.4%,5.4%,5.4%,5.4%,5.35%,5.3%,5.3%,5.3%,5.3%,5.25%,5.25%,5.25%,5.2%,5.2%,5.2%,5.2%,5.2%,5.2%
T=6,6.95%,6.95%,7.85%,7.85%,7.85%,7.85%,7.8%,7.75%,7.7%,7.7%,7.7%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.6%,7.6%,7.6%
T=7,15.35%,15.3%,16.1%,16.05%,15.95%,15.95%,15.8%,15.7%,15.5%,15.4%,15.4%,15.35%,15.35%,15.3%,15.3%,15.25%,15.25%,15.25%,15.25%,15.25%
T=8,22.65%,22.5%,23.1%,23.0%,22.9%,22.85%,22.6%,22.4%,22.15%,22.1%,22.0%,21.9%,21.9%,21.8%,21.8%,21.7%,21.65%,21.65%,21.65%,21.65%
T=9,23.75%,23.65%,24.2%,24.1%,24.05%,24.0%,23.65%,23.45%,23.25%,23.15%,23.05%,23.0%,22.95%,22.8%,22.75%,22.6%,22.55%,22.55%,22.55%,22.55%
T=10,23.75%,23.65%,24.2%,24.1%,24.05%,24.0%,23.65%,23.45%,23.25%,23.2%,23.05%,23.0%,23.0%,22.85%,22.75%,22.6%,22.55%,22.55%,22.55%,22.55%
T=11,23.75%,23.65%,24.2%,24.1%,24.05%,24.05%,23.7%,23.45%,23.25%,23.2%,23.1%,23.0%,23.0%,22.85%,22.8%,22.6%,22.55%,22.55%,22.55%,22.55%
T=12,23.75%,23.7%,24.25%,24.1%,24.05%,24.05%,23.7%,23.5%,23.25%,23.2%,23.1%,23.05%,23.0%,22.85%,22.8%,22.65%,22.55%,22.55%,22.55%,22.55%
T=13,23.75%,23.7%,24.3%,24.1%,24.05%,24.05%,23.75%,23.5%,23.25%,23.2%,23.1%,23.05%,23.05%,22.85%,22.8%,22.65%,22.6%,22.6%,22.55%,22.55%
T=14,23.75%,23.7%,24.3%,24.1%,24.05%,24.05%,23.75%,23.5%,23.3%,23.2%,23.1%,23.05%,23.05%,22.9%,22.8%,22.65%,22.6%,22.6%,22.6%,22.55%
T=15,23.75%,23.7%,24.3%,24.1%,24.05%,24.05%,23.75%,23.55%,23.3%,23.25%,23.1%,23.05%,23.05%,22.9%,22.85%,22.65%,22.6%,22.6%,22.6%,22.6%
