,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4,5.70%,5.70%,5.60%,5.60%,5.60%,5.60%,5.40%,5.40%,5.40%,5.40%,5.40%,5.40%,5.40%,5.40%,5.40%,5.30%,5.30%,5.30%,5.30%,5.30%
5,15.00%,15.00%,19.30%,19.30%,19.30%,19.20%,18.90%,18.80%,18.60%,18.60%,18.60%,18.60%,18.60%,18.50%,18.40%,18.40%,18.30%,18.30%,18.20%,18.20%
6,24.80%,24.50%,28.70%,28.60%,28.60%,28.40%,28.10%,28.00%,27.70%,27.70%,27.40%,27.40%,27.40%,27.30%,27.20%,27.20%,27.20%,27.20%,27.20%,27.10%
7,60.10%,59.60%,63.60%,63.10%,62.90%,62.30%,61.50%,60.80%,60.10%,59.70%,59.30%,59.00%,58.90%,58.80%,58.70%,58.20%,57.80%,57.60%,57.60%,57.50%
8,88.00%,86.80%,90.70%,89.90%,89.40%,88.30%,87.00%,86.10%,84.90%,84.30%,83.80%,83.30%,83.10%,82.30%,82.10%,81.60%,81.10%,80.80%,80.60%,80.50%
9,92.90%,91.80%,95.70%,94.80%,94.60%,93.30%,91.80%,91.00%,89.80%,89.20%,88.40%,88.10%,87.90%,87.30%,87.00%,86.10%,85.60%,85.40%,85.20%,85.00%
10,92.90%,91.90%,95.60%,94.80%,94.70%,93.50%,92.00%,91.00%,89.90%,89.30%,88.80%,88.40%,87.90%,87.60%,87.10%,86.60%,86.00%,85.50%,85.40%,85.30%
11,92.90%,92.00%,95.60%,94.80%,94.70%,93.80%,92.20%,91.10%,89.90%,89.40%,88.80%,88.50%,88.20%,87.60%,87.40%,86.80%,86.20%,86.00%,85.60%,85.40%
12,92.90%,92.10%,95.60%,94.90%,94.70%,93.80%,92.30%,91.30%,90.00%,89.40%,88.90%,88.50%,88.30%,87.90%,87.40%,86.90%,86.50%,86.00%,86.00%,85.80%
13,92.90%,92.10%,95.60%,94.80%,94.70%,93.80%,92.60%,91.50%,90.20%,89.40%,88.90%,88.60%,88.30%,88.00%,87.70%,86.90%,86.50%,86.30%,86.20%,85.90%
14,92.90%,92.10%,95.70%,94.80%,94.70%,93.80%,92.60%,91.60%,90.30%,89.50%,88.90%,88.60%,88.40%,88.00%,87.80%,87.20%,86.60%,86.30%,86.30%,86.20%
15,92.90%,92.10%,95.80%,94.80%,94.80%,93.80%,92.60%,91.80%,90.40%,89.70%,89.00%,88.60%,88.40%,88.10%,87.80%,87.30%,86.80%,86.60%,86.30%,86.20%
16,92.90%,92.20%,95.90%,94.80%,94.70%,93.80%,92.60%,91.80%,90.50%,89.80%,89.20%,88.70%,88.40%,88.10%,87.90%,87.30%,86.90%,86.60%,86.60%,86.20%
17,92.90%,92.20%,95.90%,94.80%,94.70%,93.80%,92.60%,91.80%,90.70%,89.90%,89.30%,88.70%,88.40%,88.10%,87.90%,87.40%,86.90%,86.70%,86.60%,86.50%
18,92.90%,92.20%,96.00%,94.90%,94.70%,93.90%,92.60%,91.80%,90.70%,90.10%,89.40%,88.90%,88.50%,88.10%,87.90%,87.40%,87.00%,86.70%,86.70%,86.50%
19,92.80%,92.20%,96.00%,94.90%,94.70%,93.80%,92.60%,91.80%,90.70%,90.20%,89.40%,89.00%,88.70%,88.20%,87.90%,87.40%,87.00%,86.80%,86.70%,86.60%
20,92.80%,92.20%,95.90%,95.00%,94.70%,93.80%,92.60%,91.80%,90.70%,90.20%,89.50%,89.10%,88.80%,88.20%,88.00%,87.40%,87.00%,86.80%,86.80%,86.60%
