,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%
2,95.11428571428569%,92.2035714285714%,89.94523809523807%,88.60595238095237%,86.17817460317455%,84.256746031746%,82.15436507936509%,80.32103174603176%,78.89246031746032%,77.23611111111111%,76.30595238095238%,75.78690476190475%,74.96785714285714%,73.8154761904762%,72.6607142857143%,72.1936507936508%,71.78113275613275%,71.3462121212121%,71.2569264069264%,71.2069264069264%
3,95.95175935175934%,93.8667055167055%,91.35266955266954%,89.72146187146187%,87.9333166833167%,86.37864668011728%,84.64494704641767%,82.61067853714918%,80.05784803431865%,78.92516635411374%,78.14708561132711%,77.72300968725119%,76.75814677238829%,75.85876150852933%,74.81869740596525%,74.5153507526186%,73.89367299367302%,73.51635447885451%,73.44552114552117%,73.39936729936733%
4,98.00054625938351%,96.58487464462841%,95.48371193109467%,94.54292507176548%,93.59925449261533%,92.91377526290457%,92.27030532153277%,91.22079632778079%,89.9682864528423%,89.36994646867288%,88.66558153679227%,88.30774891114592%,87.75429120566689%,87.13012606910065%,86.59675712825343%,86.27265669300816%,86.08301581169422%,85.72871077318939%,85.69172720120584%,85.61432894749181%
5,98.0757368288273%,96.86115363954606%,95.90338527409993%,95.23498606240412%,94.55562632013924%,93.7788036781562%,93.17526203905165%,92.55275468920743%,91.54239201456238%,91.16328857402152%,90.68888601920946%,90.27158029545775%,89.8196362345684%,89.23023862540386%,88.87234640306622%,88.5887557972204%,88.34329781618949%,87.94895047653249%,87.92611749055295%,87.90162352290709%
6,98.3274231767134%,97.18396042556395%,96.36271528496451%,95.84271611980061%,95.12008696107219%,94.13804248944967%,93.44841062936587%,92.86865310032768%,92.06439240573697%,91.47895096752102%,91.04694320415987%,90.74360821762575%,90.31240487503956%,89.8052862495791%,89.49452311694593%,89.29160307527991%,88.95355096923457%,88.6148062239891%,88.5261482775881%,88.49430055483295%
7,98.5258774769998%,97.48821848863481%,96.5638905048772%,96.03582294391009%,95.58601232200954%,94.74478155829027%,94.13139971880503%,93.68288549690033%,93.04777241455598%,92.54744857768726%,92.24913612682316%,91.79592963440986%,91.54711288419081%,91.13819608980724%,90.88285670162654%,90.72397386130466%,90.48170518995047%,90.22702395393291%,90.1093237182014%,90.0840950120723%
8,98.71230600459248%,97.62322830379671%,96.64536376784149%,96.11472980065346%,95.61699346333695%,94.85884567191643%,94.19795659158677%,93.6270120963513%,93.02800115856334%,92.59729241709287%,92.27669026325877%,91.96131799225998%,91.61538790497785%,91.2469603453897%,90.96063377326487%,90.80883190182645%,90.58625414588124%,90.36902397919329%,90.3008090846755%,90.25870998989345%
9,98.73241879866438%,97.64760450208156%,96.69380184607935%,96.15836620303588%,95.61733373498498%,94.90543669473281%,94.07793827926493%,93.50619116510856%,92.94363801085005%,92.50440637993299%,92.16229896787075%,91.81375865317536%,91.44521030464063%,91.12461484963649%,90.78268609902001%,90.6582045205586%,90.42631212546935%,90.18716994417669%,90.13357643512155%,90.07364063903061%
10,98.6876844260216%,97.54131408239547%,96.60946169245646%,96.03892168863148%,95.4890007813392%,94.75063343707379%,93.94328119818829%,93.31172431633509%,92.74380767697525%,92.34416720109853%,91.97626474149483%,91.6804540700081%,91.30930845484895%,90.96316080237983%,90.64618899054723%,90.5166394182982%,90.23473656771095%,90.02974121054108%,89.99914670059746%,89.93682976548577%
